Data,Squadra Casa,Squadra Ospite,Categoria,Girone,Ora,Indirizzo Campo,Giornata,A/R,Federazione
11/10/2025,Dinamopopieluszko,Pro Loco Rigosa,Esordienti a 7,A,16:00,"Oratorio (Sintetico) Via Terzi S. Agata, 8 24035 Curno",1,Andata,CSI
11/10/2025,Presezzo Verde,Pol.Com.Sedrinese,Esordienti a 7,A,14:30,"Comunale A7 (Sintetico) Via Olimpia, 3 24030 Presezzo",1,Andata,CSI
11/10/2025,Brembillese,Brembate Sopra,Esordienti a 7,A,15:30,L.Secomandi Località Piana 24012 Brembilla,1,Andata,CSI
11/10/2025,Locate Bergamasco,Real Borgogna 15,Esordienti a 7,A,15:30,Parrocchiale Via Delle Rimembranze 14 24036 Ponte San Pietro,1,Andata,CSI
11/10/2025,Presezzo Bianca,Olmo 1999,Esordienti a 7,A,15:30,"Comunale A7 (Sintetico) Via Olimpia, 3 24030 Presezzo",1,Andata,CSI
18/10/2025,Real Borgogna 15,Presezzo Bianca,Esordienti a 7,A,14:30,"Comunale 7 (Sintetico) Via Montebello,2 24030 Palazzago",2,Andata,CSI
18/10/2025,Brembate Sopra,Locate Bergamasco,Esordienti a 7,A,16:45,Comunale 7 (Sint) Via Don G.Sala 24030 Brembate di Sopra,2,Andata,CSI
18/10/2025,Pol.Com.Sedrinese,Brembillese,Esordienti a 7,A,15:00,"Parrocchiale Via Cà Damiani, 27 24010 Sedrina",2,Andata,CSI
18/10/2025,Pro Loco Rigosa,Presezzo Verde,Esordienti a 7,A,14:45,Comunale Frazione Rigosa 24010 Algua/Rigosa,2,Andata,CSI
18/10/2025,Olmo 1999,Dinamopopieluszko,Esordienti a 7,A,15:00,Comunale (Sintetico) Via S.Antonio Abate 24010 Olmo al Brembo,2,Andata,CSI
25/10/2025,Presezzo Verde,Dinamopopieluszko,Esordienti a 7,A,14:30,"Comunale A7 (Sintetico) Via Olimpia, 3 24030 Presezzo",3,Andata,CSI
25/10/2025,Brembillese,Pro Loco Rigosa,Esordienti a 7,A,14:30,L.Secomandi Località Piana 24012 Brembilla,3,Andata,CSI
25/10/2025,Locate Bergamasco,Pol.Com.Sedrinese,Esordienti a 7,A,15:30,Parrocchiale Via Delle Rimembranze 14 24036 Ponte San Pietro,3,Andata,CSI
25/10/2025,Presezzo Bianca,Brembate Sopra,Esordienti a 7,A,15:30,"Comunale A7 (Sintetico) Via Olimpia, 3 24030 Presezzo",3,Andata,CSI
25/10/2025,Real Borgogna 15,Olmo 1999,Esordienti a 7,A,14:30,"Comunale 7 (Sintetico) Via Montebello,2 24030 Palazzago",3,Andata,CSI
01/11/2025,Brembate Sopra,Real Borgogna 15,Esordienti a 7,A,16:45,Comunale 7 (Sint) Via Don G.Sala 24030 Brembate di Sopra,4,Andata,CSI
01/11/2025,Pol.Com.Sedrinese,Presezzo Bianca,Esordienti a 7,A,15:00,"Parrocchiale Via Cà Damiani, 27 24010 Sedrina",4,Andata,CSI
01/11/2025,Pro Loco Rigosa,Locate Bergamasco,Esordienti a 7,A,14:45,Comunale Frazione Rigosa 24010 Algua/Rigosa,4,Andata,CSI
01/11/2025,Dinamopopieluszko,Brembillese,Esordienti a 7,A,16:00,"Oratorio (Sintetico) Via Terzi S. Agata, 8 24035 Curno",4,Andata,CSI
01/11/2025,Olmo 1999,Presezzo Verde,Esordienti a 7,A,15:00,Comunale (Sintetico) Via S.Antonio Abate 24010 Olmo al Brembo,4,Andata,CSI
08/11/2025,Brembillese,Presezzo Verde,Esordienti a 7,A,14:30,L.Secomandi Località Piana 24012 Brembilla,5,Andata,CSI
08/11/2025,Locate Bergamasco,Dinamopopieluszko,Esordienti a 7,A,15:30,Parrocchiale Via Delle Rimembranze 14 24036 Ponte San Pietro,5,Andata,CSI
08/11/2025,Presezzo Bianca,Pro Loco Rigosa,Esordienti a 7,A,15:30,"Comunale A7 (Sintetico) Via Olimpia, 3 24030 Presezzo",5,Andata,CSI
08/11/2025,Real Borgogna 15,Pol.Com.Sedrinese,Esordienti a 7,A,14:30,"Comunale 7 (Sintetico) Via Montebello,2 24030 Palazzago",5,Andata,CSI
08/11/2025,Brembate Sopra,Olmo 1999,Esordienti a 7,A,16:45,Comunale 7 (Sint) Via Don G.Sala 24030 Brembate di Sopra,5,Andata,CSI
15/11/2025,Pol.Com.Sedrinese,Brembate Sopra,Esordienti a 7,A,15:00,"Parrocchiale Via Cà Damiani, 27 24010 Sedrina",6,Andata,CSI
15/11/2025,Pro Loco Rigosa,Real Borgogna 15,Esordienti a 7,A,14:45,Comunale Frazione Rigosa 24010 Algua/Rigosa,6,Andata,CSI
15/11/2025,Dinamopopieluszko,Presezzo Bianca,Esordienti a 7,A,16:00,"Oratorio (Sintetico) Via Terzi S. Agata, 8 24035 Curno",6,Andata,CSI
15/11/2025,Presezzo Verde,Locate Bergamasco,Esordienti a 7,A,14:30,"Comunale A7 (Sintetico) Via Olimpia, 3 24030 Presezzo",6,Andata,CSI
15/11/2025,Olmo 1999,Brembillese,Esordienti a 7,A,15:00,Comunale (Sintetico) Via S.Antonio Abate 24010 Olmo al Brembo,6,Andata,CSI
22/11/2025,Locate Bergamasco,Brembillese,Esordienti a 7,A,15:30,Parrocchiale Via Delle Rimembranze 14 24036 Ponte San Pietro,7,Andata,CSI
22/11/2025,Presezzo Bianca,Presezzo Verde,Esordienti a 7,A,15:30,"Comunale A7 (Sintetico) Via Olimpia, 3 24030 Presezzo",7,Andata,CSI
22/11/2025,Real Borgogna 15,Dinamopopieluszko,Esordienti a 7,A,14:30,"Comunale 7 (Sintetico) Via Montebello,2 24030 Palazzago",7,Andata,CSI
22/11/2025,Brembate Sopra,Pro Loco Rigosa,Esordienti a 7,A,16:45,Comunale 7 (Sint) Via Don G.Sala 24030 Brembate di Sopra,7,Andata,CSI
22/11/2025,Pol.Com.Sedrinese,Olmo 1999,Esordienti a 7,A,15:00,"Parrocchiale Via Cà Damiani, 27 24010 Sedrina",7,Andata,CSI
29/11/2025,Pro Loco Rigosa,Pol.Com.Sedrinese,Esordienti a 7,A,14:45,Comunale Frazione Rigosa 24010 Algua/Rigosa,8,Andata,CSI
