Data,Squadra Casa,Squadra Ospite,Categoria,Girone,Ora,Indirizzo Campo,Giornata,A/R,Federazione
11/10/2025,Osgdalmine Blu,Uso Sabbio,Esordienti a 7,G,16:30,Oratorio (Sintetico) Viale Betelli 1 24044 Dalmine,1,A,CSI
11/10/2025,Aurora Terno 14,Boca Blu,Esordienti a 7,G,15:30,Oratorio (Sintetico) Via Milano 4 24030 Terno D'Isola,1,A,CSI
11/10/2025,Osgdalmine Bianco,Or.Grassobbio2014,Esordienti a 7,G,15:30,Oratorio (Sintetico) Viale Betelli 1 24044 Dalmine,1,A,CSI
11/10/2025,Brembo,Uso Sforzatica,Esordienti a 7,G,16:00,Comunale Via Guzzanica 24044 Dalmine,1,A,CSI
12/10/2025,San Paolo Neri,Giemme 15,Esordienti a 7,G,15:30,Oratorio (Sint) Piazzale S.Paolo 35 24128 Bergamo/San Paolo,1,A,CSI
18/10/2025,Uso Sforzatica,San Paolo Neri,Esordienti a 7,G,15:00,Or.S.Maria 7 (Sint) P.Za S.Maria D'Oleno 24044 Dalmine/Sforzatica,2,A,CSI
18/10/2025,Or.Grassobbio2014,Brembo,Esordienti a 7,G,16:00,Oratorio (Sintetico) Via Papa Giovanni XXIII 35 24050 Grassobbio,2,A,CSI
18/10/2025,Boca Blu,Osgdalmine Bianco,Esordienti a 7,G,15:15,Oratorio (Sint) Via S.G.Bosco 1 24040 Boltiere,2,A,CSI
18/10/2025,Uso Sabbio,Aurora Terno 14,Esordienti a 7,G,16:00,Oratorio (Sintetico) Via Beltramelli 5 24044 Dalmine/Sabbio,2,A,CSI
18/10/2025,Giemme 15,Osgdalmine Blu,Esordienti a 7,G,14:30,Oratorio Via G.Moroni 1 24036 Ponte San Pietro,2,A,CSI
25/10/2025,Aurora Terno 14,Osgdalmine Blu,Esordienti a 7,G,15:30,Oratorio (Sintetico) Via Milano 4 24030 Terno D'Isola,3,A,CSI
25/10/2025,Osgdalmine Bianco,Uso Sabbio,Esordienti a 7,G,15:30,Oratorio (Sintetico) Viale Betelli 1 24044 Dalmine,3,A,CSI
25/10/2025,Brembo,Boca Blu,Esordienti a 7,G,16:00,Comunale Via Guzzanica 24044 Dalmine,3,A,CSI
26/10/2025,San Paolo Neri,Or.Grassobbio2014,Esordienti a 7,G,15:30,Oratorio (Sint) Piazzale S.Paolo 35 24128 Bergamo/San Paolo,3,A,CSI
25/10/2025,Uso Sforzatica,Giemme 15,Esordienti a 7,G,15:00,Or.S.Maria 7 (Sint) P.Za S.Maria D'Oleno 24044 Dalmine/Sforzatica,3,A,CSI
01/11/2025,Or.Grassobbio2014,Uso Sforzatica,Esordienti a 7,G,16:00,Oratorio (Sintetico) Via Papa Giovanni XXIII 35 24050 Grassobbio,4,A,CSI
01/11/2025,Boca Blu,San Paolo Neri,Esordienti a 7,G,15:15,Oratorio (Sint) Via S.G.Bosco 1 24040 Boltiere,4,A,CSI
01/11/2025,Uso Sabbio,Brembo,Esordienti a 7,G,16:00,Oratorio (Sintetico) Via Beltramelli 5 24044 Dalmine/Sabbio,4,A,CSI
01/11/2025,Osgdalmine Blu,Osgdalmine Bianco,Esordienti a 7,G,16:30,Oratorio (Sintetico) Viale Betelli 1 24044 Dalmine,4,A,CSI
01/11/2025,Giemme 15,Aurora Terno 14,Esordienti a 7,G,14:30,Oratorio Via G.Moroni 1 24036 Ponte San Pietro,4,A,CSI
08/11/2025,Osgdalmine Bianco,Aurora Terno 14,Esordienti a 7,G,15:30,Oratorio (Sintetico) Viale Betelli 1 24044 Dalmine,5,A,CSI
08/11/2025,Brembo,Osgdalmine Blu,Esordienti a 7,G,16:00,Comunale Via Guzzanica 24044 Dalmine,5,A,CSI
09/11/2025,San Paolo Neri,Uso Sabbio,Esordienti a 7,G,15:30,Oratorio (Sint) Piazzale S.Paolo 35 24128 Bergamo/San Paolo,5,A,CSI
08/11/2025,Uso Sforzatica,Boca Blu,Esordienti a 7,G,15:00,Or.S.Maria 7 (Sint) P.Za S.Maria D'Oleno 24044 Dalmine/Sforzatica,5,A,CSI
08/11/2025,Or.Grassobbio2014,Giemme 15,Esordienti a 7,G,16:00,Oratorio (Sintetico) Via Papa Giovanni XXIII 35 24050 Grassobbio,5,A,CSI
15/11/2025,Boca Blu,Or.Grassobbio2014,Esordienti a 7,G,15:15,Oratorio (Sint) Via S.G.Bosco 1 24040 Boltiere,6,A,CSI
15/11/2025,Uso Sabbio,Uso Sforzatica,Esordienti a 7,G,16:00,Oratorio (Sintetico) Via Beltramelli 5 24044 Dalmine/Sabbio,6,A,CSI
15/11/2025,Osgdalmine Blu,San Paolo Neri,Esordienti a 7,G,16:30,Oratorio (Sintetico) Viale Betelli 1 24044 Dalmine,6,A,CSI
15/11/2025,Aurora Terno 14,Brembo,Esordienti a 7,G,15:30,Oratorio (Sintetico) Via Milano 4 24030 Terno D'Isola,6,A,CSI
15/11/2025,Giemme 15,Osgdalmine Bianco,Esordienti a 7,G,14:30,Oratorio Via G.Moroni 1 24036 Ponte San Pietro,6,A,CSI
22/11/2025,Brembo,Osgdalmine Bianco,Esordienti a 7,G,16:00,Comunale Via Guzzanica 24044 Dalmine,7,A,CSI
23/11/2025,San Paolo Neri,Aurora Terno 14,Esordienti a 7,G,15:30,Oratorio (Sint) Piazzale S.Paolo 35 24128 Bergamo/San Paolo,7,A,CSI
22/11/2025,Uso Sforzatica,Osgdalmine Blu,Esordienti a 7,G,15:00,Or.S.Maria 7 (Sint) P.Za S.Maria D'Oleno 24044 Dalmine/Sforzatica,7,A,CSI
