Data,squadra casa,squadra ospite,categoria,girone,ora di gioco,indirizzo campo di gioco,giornata,A/R,federazione
4/10/25,A.C. PONTE S.P. - MAPELLO,A.C.O.S. TREVIGLIO CALCIO,ESORDIENTI 12anni 9>9 AUT.-BG-,A,14:30,PONTE SAN PIETRO - VIA TRENTO TRIESTE,1,andata,FIGC
31/01/26,A.C.O.S. TREVIGLIO CALCIO,A.C. PONTE S.P. - MAPELLO,ESORDIENTI 12anni 9>9 AUT.-BG-,A,17:15,TREVIGLIO - VIA MILANO N.7,1,ritorno,FIGC
4/10/25,ATALANTA BERGAMASCA C.SRL,COLOGNESE,ESORDIENTI 12anni 9>9 AUT.-BG-,A,14:30,"BREMBATE - VIA ORATORIO,20",1,andata,FIGC
31/01/26,COLOGNESE,ATALANTA BERGAMASCA C.SRL,ESORDIENTI 12anni 9>9 AUT.-BG-,A,16:00,COLOGNO AL SERIO - VIA DELLE GALOSE/BETOSCA,1,ritorno,FIGC
4/10/25,TREVIGLIESE S.S.D. A.R.L.,REAL CALEPINA F.C. SSDARL,ESORDIENTI 12anni 9>9 AUT.-BG-,A,16:00,TREVIGLIO - VIA MALGARI 1,1,andata,FIGC
31/01/26,REAL CALEPINA F.C. SSDARL,TREVIGLIESE S.S.D. A.R.L.,ESORDIENTI 12anni 9>9 AUT.-BG-,A,15:30,GRUMELLO DEL MONTE - VIA DON PIETRO BELOTTI,1,ritorno,FIGC
4/10/25,UESSE SARNICO 1908,AURORA SERIATE 1967,ESORDIENTI 12anni 9>9 AUT.-BG-,A,14:30,"SARNICO - VIA DONATORI DEL SANGUE, 5",1,andata,FIGC
31/01/26,AURORA SERIATE 1967,UESSE SARNICO 1908,ESORDIENTI 12anni 9>9 AUT.-BG-,A,16:30,SERIATE - VIA DECO' E CANETTA 66,1,ritorno,FIGC
4/10/25,VILLA VALLE SSD ARL,CISANESE A.S.D.,ESORDIENTI 12anni 9>9 AUT.-BG-,A,17:30,"VILLA D'ALME' - VIA RONCO BASSO, 5",1,andata,FIGC
31/01/26,CISANESE A.S.D.,VILLA VALLE SSD ARL,ESORDIENTI 12anni 9>9 AUT.-BG-,A,15:00,"CISANO BERGAMASCO - VIA CA'DE VOLPI,7",1,ritorno,FIGC
11/10/25,A.C.O.S. TREVIGLIO CALCIO,VILLA VALLE SSD ARL,ESORDIENTI 12anni 9>9 AUT.-BG-,A,17:15,TREVIGLIO - VIA MILANO N.7,2,andata,FIGC
7/02/26,VILLA VALLE SSD ARL,A.C.O.S. TREVIGLIO CALCIO,ESORDIENTI 12anni 9>9 AUT.-BG-,A,17:30,"VILLA D'ALME' - VIA RONCO BASSO, 5",2,ritorno,FIGC
11/10/25,AURORA SERIATE 1967,A.C. PONTE S.P. - MAPELLO,ESORDIENTI 12anni 9>9 AUT.-BG-,A,16:30,SERIATE - VIA DECO' E CANETTA 66,2,andata,FIGC
7/02/26,A.C. PONTE S.P. - MAPELLO,AURORA SERIATE 1967,ESORDIENTI 12anni 9>9 AUT.-BG-,A,14:30,PONTE SAN PIETRO - VIA TRENTO TRIESTE,2,ritorno,FIGC
11/10/25,CISANESE A.S.D.,ATALANTA BERGAMASCA C.SRL,ESORDIENTI 12anni 9>9 AUT.-BG-,A,15:00,"CISANO BERGAMASCO - VIA CA'DE VOLPI,7",2,andata,FIGC
7/02/26,ATALANTA BERGAMASCA C.SRL,CISANESE A.S.D.,ESORDIENTI 12anni 9>9 AUT.-BG-,A,14:30,"BREMBATE - VIA ORATORIO,20",2,ritorno,FIGC
11/10/25,COLOGNESE,TREVIGLIESE S.S.D. A.R.L.,ESORDIENTI 12anni 9>9 AUT.-BG-,A,16:00,COLOGNO AL SERIO - VIA DELLE GALOSE/BETOSCA,2,andata,FIGC
7/02/26,TREVIGLIESE S.S.D. A.R.L.,COLOGNESE,ESORDIENTI 12anni 9>9 AUT.-BG-,A,16:00,TREVIGLIO - VIA MALGARI 1,2,ritorno,FIGC
11/10/25,REAL CALEPINA F.C. SSDARL,UESSE SARNICO 1908,ESORDIENTI 12anni 9>9 AUT.-BG-,A,15:30,GRUMELLO DEL MONTE - VIA DON PIETRO BELOTTI,2,andata,FIGC
7/02/26,UESSE SARNICO 1908,REAL CALEPINA F.C. SSDARL,ESORDIENTI 12anni 9>9 AUT.-BG-,A,14:30,"SARNICO - VIA DONATORI DEL SANGUE, 5",2,ritorno,FIGC
18/10/25,A.C. PONTE S.P. - MAPELLO,REAL CALEPINA F.C. SSDARL,ESORDIENTI 12anni 9>9 AUT.-BG-,A,14:30,PONTE SAN PIETRO - VIA TRENTO TRIESTE,3,andata,FIGC
14/02/26,REAL CALEPINA F.C. SSDARL,A.C. PONTE S.P. - MAPELLO,ESORDIENTI 12anni 9>9 AUT.-BG-,A,15:30,GRUMELLO DEL MONTE - VIA DON PIETRO BELOTTI,3,ritorno,FIGC
18/10/25,CISANESE A.S.D.,A.C.O.S. TREVIGLIO CALCIO,ESORDIENTI 12anni 9>9 AUT.-BG-,A,15:00,"CISANO BERGAMASCO - VIA CA'DE VOLPI,7",3,andata,FIGC
14/02/26,A.C.O.S. TREVIGLIO CALCIO,CISANESE A.S.D.,ESORDIENTI 12anni 9>9 AUT.-BG-,A,17:15,TREVIGLIO - VIA MILANO N.7,3,ritorno,FIGC
18/10/25,TREVIGLIESE S.S.D. A.R.L.,ATALANTA BERGAMASCA C.SRL,ESORDIENTI 12anni 9>9 AUT.-BG-,A,16:00,TREVIGLIO - VIA MALGARI 1,3,andata,FIGC
