Data,squadra casa,squadra ospite,categoria,girone,ora di gioco,indirizzo campo di gioco,giornata,A/R,federazione
04/10/2025,CALCIO GORLE A.S.D.,A.C. PONTE S.P. - MAPSQ.B,Esordienti 11 anni,Girone A,14:15,GORLE VIA ROMA 2A,1,andata,FIGC
04/10/2025,CARAVAGGIO SRL,TRITIUM CALCIO 1908 A RL,Esordienti 11 anni,Girone A,15:45,CARAVAGGIO VIA G.CASTOLDI 11,1,andata,FIGC
04/10/2025,G.S. VERTOVESE SSDARL,UESSE SARNICO 1908 SQ.B,Esordienti 11 anni,Girone A,15:00,VERTOVA VIA FORNI 28,1,andata,FIGC
04/10/2025,PONTISOLA CALCIO,ATALANTA BERGAMASCA C.SRL,Esordienti 11 anni,Girone A,14:30,CURNO FRAZIONE MARIGOLDA VIA ABRUZZI 9,1,andata,FIGC
04/10/2025,REAL CALEPINA F.C. SSDARL,SCANZOROSCIATE CALCIO ASD,Esordienti 11 anni,Girone A,15:30,GRUMELLO DEL MONTE VIA DON PIETRO BELOTTI,1,andata,FIGC
11/10/2025,A.C. PONTE S.P. - MAPSQ.B,G.S. VERTOVESE SSDARL,Esordienti 11 anni,Girone A,16:00,MAPELLO VIA DEL LAZZARINO 1,2,andata,FIGC
11/10/2025,ATALANTA BERGAMASCA C.SRL,CALCIO GORLE A.S.D.,Esordienti 11 anni,Girone A,14:30,BREMBATE VIA ORATORIO 20,2,andata,FIGC
11/10/2025,SCANZOROSCIATE CALCIO ASD,PONTISOLA CALCIO,Esordienti 11 anni,Girone A,15:30,SCANZOROSCIATE VIA POLCAREZZO 2,2,andata,FIGC
11/10/2025,TRITIUM CALCIO 1908 A RL,REAL CALEPINA F.C. SSDARL,Esordienti 11 anni,Girone A,16:45,TREZZO SULL'ADDA VIA ROCCA 19,2,andata,FIGC
11/10/2025,UESSE SARNICO 1908 SQ.B,CARAVAGGIO SRL,Esordienti 11 anni,Girone A,14:30,SARNICO VIA OLIMPIA 4,2,andata,FIGC
18/10/2025,CALCIO GORLE A.S.D.,PONTISOLA CALCIO,Esordienti 11 anni,Girone A,14:15,GORLE VIA ROMA 2A,3,andata,FIGC
18/10/2025,CARAVAGGIO SRL,A.C. PONTE S.P. - MAPSQ.B,Esordienti 11 anni,Girone A,15:45,CARAVAGGIO VIA G.CASTOLDI 11,3,andata,FIGC
18/10/2025,G.S. VERTOVESE SSDARL,ATALANTA BERGAMASCA C.SRL,Esordienti 11 anni,Girone A,15:00,VERTOVA VIA FORNI 28,3,andata,FIGC
18/10/2025,REAL CALEPINA F.C. SSDARL,UESSE SARNICO 1908 SQ.B,Esordienti 11 anni,Girone A,15:30,GRUMELLO DEL MONTE VIA DON PIETRO BELOTTI,3,andata,FIGC
18/10/2025,SCANZOROSCIATE CALCIO ASD,TRITIUM CALCIO 1908 A RL,Esordienti 11 anni,Girone A,15:30,SCANZOROSCIATE VIA POLCAREZZO 2,3,andata,FIGC
25/10/2025,A.C. PONTE S.P. - MAPSQ.B,REAL CALEPINA F.C. SSDARL,Esordienti 11 anni,Girone A,16:00,MAPELLO VIA DEL LAZZARINO 1,4,andata,FIGC
25/10/2025,ATALANTA BERGAMASCA C.SRL,CARAVAGGIO SRL,Esordienti 11 anni,Girone A,14:30,BREMBATE VIA ORATORIO 20,4,andata,FIGC
25/10/2025,CALCIO GORLE A.S.D.,SCANZOROSCIATE CALCIO ASD,Esordienti 11 anni,Girone A,14:15,GORLE VIA ROMA 2A,4,andata,FIGC
25/10/2025,PONTISOLA CALCIO,G.S. VERTOVESE SSDARL,Esordienti 11 anni,Girone A,14:30,CURNO FRAZIONE MARIGOLDA VIA ABRUZZI 9,4,andata,FIGC
25/10/2025,UESSE SARNICO 1908 SQ.B,TRITIUM CALCIO 1908 A RL,Esordienti 11 anni,Girone A,14:30,SARNICO VIA OLIMPIA 4,4,andata,FIGC
01/11/2025,CARAVAGGIO SRL,PONTISOLA CALCIO,Esordienti 11 anni,Girone A,15:45,CARAVAGGIO VIA G.CASTOLDI 11,5,andata,FIGC
01/11/2025,G.S. VERTOVESE SSDARL,CALCIO GORLE A.S.D.,Esordienti 11 anni,Girone A,15:00,VERTOVA VIA FORNI 28,5,andata,FIGC
01/11/2025,REAL CALEPINA F.C. SSDARL,ATALANTA BERGAMASCA C.SRL,Esordienti 11 anni,Girone A,15:30,GRUMELLO DEL MONTE VIA DON PIETRO BELOTTI,5,andata,FIGC
01/11/2025,SCANZOROSCIATE CALCIO ASD,UESSE SARNICO 1908 SQ.B,Esordienti 11 anni,Girone A,15:30,SCANZOROSCIATE VIA POLCAREZZO 2,5,andata,FIGC
01/11/2025,TRITIUM CALCIO 1908 A RL,A.C. PONTE S.P. - MAPSQ.B,Esordienti 11 anni,Girone A,16:45,TREZZO SULL'ADDA VIA ROCCA 19,5,andata,FIGC
31/01/2026,A.C. PONTE S.P. - MAPSQ.B,CALCIO GORLE A.S.D.,Esordienti 11 anni,Girone A,16:00,MAPELLO VIA DEL LAZZARINO 1,1,ritorno,FIGC
31/01/2026,TRITIUM CALCIO 1908 A RL,CARAVAGGIO SRL,Esordienti 11 anni,Girone A,16:45,TREZZO SULL'ADDA VIA ROCCA 19,1,ritorno,FIGC
31/01/2026,UESSE SARNICO 1908 SQ.B,G.S. VERTOVESE SSDARL,Esordienti 11 anni,Girone A,14:30,SARNICO VIA OLIMPIA 4,1,ritorno,FIGC
31/01/2026,ATALANTA BERGAMASCA C.SRL,PONTISOLA CALCIO,Esordienti 11 anni,Girone A,14:30,BREMBATE VIA ORATORIO 20,1,ritorno,FIGC
31/01/2026,SCANZOROSCIATE CALCIO ASD,REAL CALEPINA F.C. SSDARL,Esordienti 11 anni,Girone A,15:30,SCANZOROSCIATE VIA POLCAREZZO 2,1,ritorno,FIGC
07/02/2026,G.S. VERTOVESE SSDARL,A.C. PONTE S.P. - MAPSQ.B,Esordienti 11 anni,Girone A,15:00,VERTOVA VIA FORNI 28,2,ritorno,FIGC
07/02/2026,CALCIO GORLE A.S.D.,ATALANTA BERGAMASCA C.SRL,Esordienti 11 anni,Girone A,14:15,GORLE VIA ROMA 2A,2,ritorno,FIGC
07/02/2026,PONTISOLA CALCIO,SCANZOROSCIATE CALCIO ASD,Esordienti 11 anni,Girone A,14:30,CURNO FRAZIONE MARIGOLDA VIA ABRUZZI 9,2,ritorno,FIGC
07/02/2026,REAL CALEPINA F.C. SSDARL,TRITIUM CALCIO 1908 A RL,Esordienti 11 anni,Girone A,15:30,GRUMELLO DEL MONTE VIA DON PIETRO BELOTTI,2,ritorno,FIGC
07/02/2026,CARAVAGGIO SRL,UESSE SARNICO 1908 SQ.B,Esordienti 11 anni,Girone A,15:45,CARAVAGGIO VIA G.CASTOLDI 11,2,ritorno,FIGC
14/02/2026,PONTISOLA CALCIO,CALCIO GORLE A.S.D.,Esordienti 11 anni,Girone A,14:30,CURNO FRAZIONE MARIGOLDA VIA ABRUZZI 9,3,ritorno,FIGC
14/02/2026,A.C. PONTE S.P. - MAPSQ.B,CARAVAGGIO SRL,Esordienti 11 anni,Girone A,16:00,MAPELLO VIA DEL LAZZARINO 1,3,ritorno,FIGC
14/02/2026,ATALANTA BERGAMASCA C.SRL,G.S. VERTOVESE SSDARL,Esordienti 11 anni,Girone A,14:30,BREMBATE VIA ORATORIO 20,3,ritorno,FIGC
14/02/2026,UESSE SARNICO 1908 SQ.B,REAL CALEPINA F.C. SSDARL,Esordienti 11 anni,Girone A,14:30,SARNICO VIA OLIMPIA 4,3,ritorno,FIGC
14/02/2026,TRITIUM CALCIO 1908 A RL,SCANZOROSCIATE CALCIO ASD,Esordienti 11 anni,Girone A,16:45,TREZZO SULL'ADDA VIA ROCCA 19,3,ritorno,FIGC
21/02/2026,REAL CALEPINA F.C. SSDARL,A.C. PONTE S.P. - MAPSQ.B,Esordienti 11 anni,Girone A,15:30,GRUMELLO DEL MONTE VIA DON PIETRO BELOTTI,4,ritorno,FIGC
21/02/2026,CARAVAGGIO SRL,ATALANTA BERGAMASCA C.SRL,Esordienti 11 anni,Girone A,15:45,CARAVAGGIO VIA G.CASTOLDI 11,4,ritorno,FIGC
21/02/2026,SCANZOROSCIATE CALCIO ASD,CALCIO GORLE A.S.D.,Esordienti 11 anni,Girone A,15:30,SCANZOROSCIATE VIA POLCAREZZO 2,4,ritorno,FIGC
21/02/2026,G.S. VERTOVESE SSDARL,PONTISOLA CALCIO,Esordienti 11 anni,Girone A,15:00,VERTOVA VIA FORNI 28,4,ritorno,FIGC
21/02/2026,TRITIUM CALCIO 1908 A RL,UESSE SARNICO 1908 SQ.B,Esordienti 11 anni,Girone A,16:45,TREZZO SULL'ADDA VIA ROCCA 19,4,ritorno,FIGC
