04/10/2025, A.C. PONTE S.P. - MAPELLO, COLOGNESE, ESORDIENTI 11anni, B, 16:00, Mapello VIA DEL LAZZARINO 1, 1, Andata, FIGC
04/10/2025, ALBINOLEFFE S.R.L., JUVENES GIANNI RADICI, ESORDIENTI 11anni, B, 15:45, Zanica VIA COMUN NUOVO 26-28, 1, Andata, FIGC
04/10/2025, UESSE SARNICO 1908, CALCIO BRUSAPORTO, ESORDIENTI 11anni, B, 16:00, Sarnico VIA DONATORI DEL SANGUE 5, 1, Andata, FIGC
04/10/2025, VILLA VALLE SSD ARL, CISANESE A.S.D., ESORDIENTI 11anni, B, 16:00, Villa Dalme VIA RONCO BASSO 5, 1, Andata, FIGC
04/10/2025, VIRTUSCISERANOBERGAMO1909, TREVIGLIESE S.S.D. A.R.L., ESORDIENTI 11anni, B, 14:30, Ciserano VIA MAZZINI 13, 1, Andata, FIGC
31/01/2026, COLOGNESE, A.C. PONTE S.P. - MAPELLO, ESORDIENTI 11anni, B, 14:30, Cologno Al Serio VIA DELLE GALOSE BETOSCA, 1, Ritorno, FIGC
31/01/2026, JUVENES GIANNI RADICI, ALBINOLEFFE S.R.L., ESORDIENTI 11anni, B, 16:30, Parre VIA ROMA 33, 1, Ritorno, FIGC
31/01/2026, CALCIO BRUSAPORTO, UESSE SARNICO 1908, ESORDIENTI 11anni, B, 14:00, Brusaporto VIA BELVEDERE 1, 1, Ritorno, FIGC
31/01/2026, CISANESE A.S.D., VILLA VALLE SSD ARL, ESORDIENTI 11anni, B, 17:00, Cisano Bergamasco VIA CADE VOLPI 7, 1, Ritorno, FIGC
31/01/2026, TREVIGLIESE S.S.D. A.R.L., VIRTUSCISERANOBERGAMO1909, ESORDIENTI 11anni, B, 16:30, Treviglio VIA MALGARI 1, 1, Ritorno, FIGC
11/10/2025, CALCIO BRUSAPORTO, VIRTUSCISERANOBERGAMO1909, ESORDIENTI 11anni, B, 14:00, Brusaporto VIA BELVEDERE 1, 2, Andata, FIGC
11/10/2025, CISANESE A.S.D., A.C. PONTE S.P. - MAPELLO, ESORDIENTI 11anni, B, 17:00, Cisano Bergamasco VIA CADE VOLPI 7, 2, Andata, FIGC
11/10/2025, COLOGNESE, ALBINOLEFFE S.R.L., ESORDIENTI 11anni, B, 14:30, Cologno Al Serio VIA DELLE GALOSE BETOSCA, 2, Andata, FIGC
11/10/2025, JUVENES GIANNI RADICI, UESSE SARNICO 1908, ESORDIENTI 11anni, B, 16:30, Parre VIA ROMA 33, 2, Andata, FIGC
11/10/2025, TREVIGLIESE S.S.D. A.R.L., VILLA VALLE SSD ARL, ESORDIENTI 11anni, B, 16:30, Treviglio VIA MALGARI 1, 2, Andata, FIGC
07/02/2026, VIRTUSCISERANOBERGAMO1909, CALCIO BRUSAPORTO, ESORDIENTI 11anni, B, 14:30, Ciserano VIA MAZZINI 13, 2, Ritorno, FIGC
07/02/2026, A.C. PONTE S.P. - MAPELLO, CISANESE A.S.D., ESORDIENTI 11anni, B, 16:00, Mapello VIA DEL LAZZARINO 1, 2, Ritorno, FIGC
07/02/2026, ALBINOLEFFE S.R.L., COLOGNESE, ESORDIENTI 11anni, B, 15:45, Zanica VIA COMUN NUOVO 26-28, 2, Ritorno, FIGC
07/02/2026, UESSE SARNICO 1908, JUVENES GIANNI RADICI, ESORDIENTI 11anni, B, 16:00, Sarnico VIA DONATORI DEL SANGUE 5, 2, Ritorno, FIGC
07/02/2026, VILLA VALLE SSD ARL, TREVIGLIESE S.S.D. A.R.L., ESORDIENTI 11anni, B, 16:00, Villa Dalme VIA RONCO BASSO 5, 2, Ritorno, FIGC
18/10/2025, ALBINOLEFFE S.R.L., A.C. PONTE S.P. - MAPELLO, ESORDIENTI 11anni, B, 15:45, Zanica VIA COMUN NUOVO 26-28, 3, Andata, FIGC
18/10/2025, CISANESE A.S.D., TREVIGLIESE S.S.D. A.R.L., ESORDIENTI 11anni, B, 17:00, Cisano Bergamasco VIA CADE VOLPI 7, 3, Andata, FIGC
18/10/2025, UESSE SARNICO 1908, COLOGNESE, ESORDIENTI 11anni, B, 16:00, Sarnico VIA DONATORI DEL SANGUE 5, 3, Andata, FIGC
18/10/2025, VILLA VALLE SSD ARL, CALCIO BRUSAPORTO, ESORDIENTI 11anni, B, 16:00, Villa Dalme VIA RONCO BASSO 5, 3, Andata, FIGC
18/10/2025, VIRTUSCISERANOBERGAMO1909, JUVENES GIANNI RADICI, ESORDIENTI 11anni, B, 14:30, Ciserano VIA MAZZINI 13, 3, Andata, FIGC
14/02/2026, A.C. PONTE S.P. - MAPELLO, ALBINOLEFFE S.R.L., ESORDIENTI 11anni, B, 16:00, Mapello VIA DEL LAZZARINO 1, 3, Ritorno, FIGC
14/02/2026, TREVIGLIESE S.S.D. A.R.L., CISANESE A.S.D., ESORDIENTI 11anni, B, 16:30, Treviglio VIA MALGARI 1, 3, Ritorno, FIGC
14/02/2026, COLOGNESE, UESSE SARNICO 1908, ESORDIENTI 11anni, B, 14:30, Cologno Al Serio VIA DELLE GALOSE BETOSCA, 3, Ritorno, FIGC
14/02/2026, CALCIO BRUSAPORTO, VILLA VALLE SSD ARL, ESORDIENTI 11anni, B, 14:00, Brusaporto VIA BELVEDERE 1, 3, Ritorno, FIGC
14/02/2026, JUVENES GIANNI RADICI, VIRTUSCISERANOBERGAMO1909, ESORDIENTI 11anni, B, 16:30, Parre VIA ROMA 33, 3, Ritorno, FIGC
25/10/2025, A.C. PONTE S.P. - MAPELLO, UESSE SARNICO 1908, ESORDIENTI 11anni, B, 16:00, Mapello VIA DEL LAZZARINO 1, 4, Andata, FIGC
25/10/2025, ALBINOLEFFE S.R.L., CISANESE A.S.D., ESORDIENTI 11anni, B, 15:45, Zanica VIA COMUN NUOVO 26-28, 4, Andata, FIGC
25/10/2025, CALCIO BRUSAPORTO, TREVIGLIESE S.S.D. A.R.L., ESORDIENTI 11anni, B, 14:00, Brusaporto VIA BELVEDERE 1, 4, Andata, FIGC
25/10/2025, COLOGNESE, VIRTUSCISERANOBERGAMO1909, ESORDIENTI 11anni, B, 14:30, Cologno Al Serio VIA DELLE GALOSE BETOSCA, 4, Andata, FIGC
25/10/2025, JUVENES GIANNI RADICI, VILLA VALLE SSD ARL, ESORDIENTI 11anni, B, 16:30, Parre VIA ROMA 33, 4, Andata, FIGC
21/02/2026, UESSE SARNICO 1908, A.C. PONTE S.P. - MAPELLO, ESORDIENTI 11anni, B, 16:00, Sarnico VIA DONATORI DEL SANGUE 5, 4, Ritorno, FIGC
21/02/2026, CISANESE A.S.D., ALBINOLEFFE S.R.L., ESORDIENTI 11anni, B, 17:00, Cisano Bergamasco VIA CADE VOLPI 7, 4, Ritorno, FIGC
21/02/2026, TREVIGLIESE S.S.D. A.R.L., CALCIO BRUSAPORTO, ESORDIENTI 11anni, B, 16:30, Treviglio VIA MALGARI 1, 4, Ritorno, FIGC
21/02/2026, VIRTUSCISERANOBERGAMO1909, COLOGNESE, ESORDIENTI 11anni, B, 14:30, Ciserano VIA MAZZINI 13, 4, Ritorno, FIGC
