Data, squadra casa, squadra ospite, categoria, girone, ora di gioco, indirizzo campo di gioco, giornata, A/R, federazione
04/10/2025, ACCADEMIA ISOLABERGAMSQ.B, A.C. PONTE S.P. - MAPsq.C, PRIMI CALCI 7-8anni, E, 11:00, FILAGO VIA ANTONIO LOCATELLI 42, 1, andata, FIGC
04/10/2025, CISANESE A.S.D., CALCIO GORLE A.S.D., PRIMI CALCI 7-8anni, E, 15:00, CISANO BERGAMASCO VIA CADE VOLPI 7, 1, andata, FIGC
04/10/2025, MONVICO A.S.D., AZZANO CALCIO ASD SQ.B, PRIMI CALCI 7-8anni, E, 10:00, CARVICO VIA PEDRAZZI, 1, andata, FIGC
04/10/2025, MONVICO A.S.D. SQ.B, AZZANO CALCIO ASD SQ.D, PRIMI CALCI 7-8anni, E, 10:00, CARVICO VIA PEDRAZZI, 1, andata, FIGC
11/10/2025, A.C. PONTE S.P. - MAPsq.C, CISANESE A.S.D., PRIMI CALCI 7-8anni, E, 14:15, MAPELLO VIA DEL LAZZARINO, 2, andata, FIGC
11/10/2025, AZZANO CALCIO ASD SQ.B, MONVICO A.S.D. SQ.B, PRIMI CALCI 7-8anni, E, 15:00, AZZANO SAN PAOLO VIA STEZZANO 33, 2, andata, FIGC
11/10/2025, AZZANO CALCIO ASD SQ.D, ACCADEMIA ISOLABERGAMSQ.B, PRIMI CALCI 7-8anni, E, 16:30, AZZANO SAN PAOLO VIA STEZZANO 33, 2, andata, FIGC
11/10/2025, BONATE SOTTO 1951, MONVICO A.S.D., PRIMI CALCI 7-8anni, E, 14:00, BONATE SOTTO VIA GIUSEPPE GARIBALDI 15, 2, andata, FIGC
18/10/2025, AZZANO CALCIO ASD SQ.D, AZZANO CALCIO ASD SQ.B, PRIMI CALCI 7-8anni, E, 16:30, AZZANO SAN PAOLO VIA STEZZANO 33, 3, andata, FIGC
18/10/2025, CISANESE A.S.D., ACCADEMIA ISOLABERGAMSQ.B, PRIMI CALCI 7-8anni, E, 15:00, CISANO BERGAMASCO VIA CADE VOLPI 7, 3, andata, FIGC
18/10/2025, MONVICO A.S.D., CALCIO GORLE A.S.D., PRIMI CALCI 7-8anni, E, 10:00, CARVICO VIA PEDRAZZI, 3, andata, FIGC
18/10/2025, MONVICO A.S.D. SQ.B, BONATE SOTTO 1951, PRIMI CALCI 7-8anni, E, 10:00, CARVICO VIA PEDRAZZI, 3, andata, FIGC
25/10/2025, A.C. PONTE S.P. - MAPsq.C, MONVICO A.S.D., PRIMI CALCI 7-8anni, E, 14:15, MAPELLO VIA DEL LAZZARINO, 4, andata, FIGC
25/10/2025, BONATE SOTTO 1951, AZZANO CALCIO ASD SQ.B, PRIMI CALCI 7-8anni, E, 14:00, BONATE SOTTO VIA GIUSEPPE GARIBALDI 15, 4, andata, FIGC
25/10/2025, CALCIO GORLE A.S.D., MONVICO A.S.D. SQ.B, PRIMI CALCI 7-8anni, E, 10:00, GORLE VIA ROMA 2A, 4, andata, FIGC
25/10/2025, CISANESE A.S.D., AZZANO CALCIO ASD SQ.D, PRIMI CALCI 7-8anni, E, 15:00, CISANO BERGAMASCO VIA CADE VOLPI 7, 4, andata, FIGC
01/11/2025, AZZANO CALCIO ASD SQ.B, CALCIO GORLE A.S.D., PRIMI CALCI 7-8anni, E, 15:00, AZZANO SAN PAOLO VIA STEZZANO 33, 5, andata, FIGC
01/11/2025, AZZANO CALCIO ASD SQ.D, BONATE SOTTO 1951, PRIMI CALCI 7-8anni, E, 16:30, AZZANO SAN PAOLO VIA STEZZANO 33, 5, andata, FIGC
01/11/2025, MONVICO A.S.D., ACCADEMIA ISOLABERGAMSQ.B, PRIMI CALCI 7-8anni, E, 10:00, CARVICO VIA PEDRAZZI, 5, andata, FIGC
01/11/2025, MONVICO A.S.D. SQ.B, A.C. PONTE S.P. - MAPsq.C, PRIMI CALCI 7-8anni, E, 10:00, CARVICO VIA PEDRAZZI, 5, andata, FIGC
08/11/2025, A.C. PONTE S.P. - MAPsq.C, AZZANO CALCIO ASD SQ.B, PRIMI CALCI 7-8anni, E, 14:15, MAPELLO VIA DEL LAZZARINO, 6, andata, FIGC
08/11/2025, ACCADEMIA ISOLABERGAMSQ.B, MONVICO A.S.D. SQ.B, PRIMI CALCI 7-8anni, E, 11:00, FILAGO VIA ANTONIO LOCATELLI 42, 6, andata, FIGC
08/11/2025, CALCIO GORLE A.S.D., BONATE SOTTO 1951, PRIMI CALCI 7-8anni, E, 10:00, GORLE VIA ROMA 2A, 6, andata, FIGC
08/11/2025, CISANESE A.S.D., MONVICO A.S.D., PRIMI CALCI 7-8anni, E, 15:00, CISANO BERGAMASCO VIA CADE VOLPI 7, 6, andata, FIGC
15/11/2025, AZZANO CALCIO ASD SQ.B, ACCADEMIA ISOLABERGAMSQ.B, PRIMI CALCI 7-8anni, E, 15:00, AZZANO SAN PAOLO VIA STEZZANO 33, 7, andata, FIGC
15/11/2025, AZZANO CALCIO ASD SQ.D, CALCIO GORLE A.S.D., PRIMI CALCI 7-8anni, E, 16:30, AZZANO SAN PAOLO VIA STEZZANO 33, 7, andata, FIGC
15/11/2025, BONATE SOTTO 1951, A.C. PONTE S.P. - MAPsq.C, PRIMI CALCI 7-8anni, E, 14:00, BONATE SOTTO VIA GIUSEPPE GARIBALDI 15, 7, andata, FIGC
15/11/2025, MONVICO A.S.D. SQ.B, CISANESE A.S.D., PRIMI CALCI 7-8anni, E, 10:00, CARVICO VIA PEDRAZZI, 7, andata, FIGC
22/11/2025, A.C. PONTE S.P. - MAPsq.C, CALCIO GORLE A.S.D., PRIMI CALCI 7-8anni, E, 14:15, MAPELLO VIA DEL LAZZARINO, 8, andata, FIGC
22/11/2025, ACCADEMIA ISOLABERGAMSQ.B, BONATE SOTTO 1951, PRIMI CALCI 7-8anni, E, 11:00, FILAGO VIA ANTONIO LOCATELLI 42, 8, andata, FIGC
22/11/2025, CISANESE A.S.D., AZZANO CALCIO ASD SQ.B, PRIMI CALCI 7-8anni, E, 15:00, CISANO BERGAMASCO VIA CADE VOLPI 7, 8, andata, FIGC
22/11/2025, MONVICO A.S.D., AZZANO CALCIO ASD SQ.D, PRIMI CALCI 7-8anni, E, 10:00, CARVICO VIA PEDRAZZI, 8, andata, FIGC
29/11/2025, AZZANO CALCIO ASD SQ.D, A.C. PONTE S.P. - MAPsq.C, PRIMI CALCI 7-8anni, E, 16:30, AZZANO SAN PAOLO VIA STEZZANO 33, 9, andata, FIGC
29/11/2025, BONATE SOTTO 1951, CISANESE A.S.D., PRIMI CALCI 7-8anni, E, 14:00, BONATE SOTTO VIA GIUSEPPE GARIBALDI 15, 9, andata, FIGC
29/11/2025, CALCIO GORLE A.S.D., ACCADEMIA ISOLABERGAMSQ.B, PRIMI CALCI 7-8anni, E, 10:00, GORLE VIA ROMA 2A, 9, andata, FIGC
29/11/2025, MONVICO A.S.D. SQ.B, MONVICO A.S.D., PRIMI CALCI 7-8anni, E, 10:00, CARVICO VIA PEDRAZZI, 9, andata, FIGC
