Data, squadra casa, squadra ospite, categoria, girone, ora di gioco, indirizzo campo di gioco, giornata, A/R, federazione
04/10/2025, ACCADEMIA SPORTIMAGNASQ.B, LALLIO CALCIO SQ.B, PRIMI CALCI 7-8anni, L, 11:00, SANTOMOBONO TERME VIA ALLE FONTI 2,1, andata, FIGC
04/10/2025, ALME SQ.B, ORATORI ALZANESE A.S.SQ.B, PRIMI CALCI 7-8anni, L, 16:00, ALME VIA OLIMPIA 8,1, andata, FIGC
04/10/2025, BONATE SOTTO 1951 sq.B, A.C. PONTE S.P. - MAPsq.D, PRIMI CALCI 7-8anni, L, 14:00, BONATE SOTTO VIA GIUSEPPE GARIBALDI 15,1, andata, FIGC
04/10/2025, MONVICO A.S.D. sq.C, CISANESE A.S.D. SQ.B, PRIMI CALCI 7-8anni, L, 10:00, CARVICO VIA PEDRAZZI,1, andata, FIGC
11/10/2025, CISANESE A.S.D. SQ.B, ALME SQ.B, PRIMI CALCI 7-8anni, L, 15:00, CISANO BERGAMASCO VIA CA' DE' VOLPI 7,2, andata, FIGC
11/10/2025, LALLIO CALCIO SQ.B, BONATE SOTTO 1951 sq.B, PRIMI CALCI 7-8anni, L, 14:30, LALLIO VIA EVARISTO BASCHENIS,2, andata, FIGC
11/10/2025, ORATORI ALZANESE A.S.SQ.B, ACCADEMIA SPORTIMAGNASQ.B, PRIMI CALCI 7-8anni, L, 15:30, ALZANO LOMBARDO FRAZIONE NESE VIA MONTELUNGO 3,2, andata, FIGC
11/10/2025, ZOGNESE SQ.B, MONVICO A.S.D. sq.C, PRIMI CALCI 7-8anni, L, 14:30, ZOGNO VIA CAMANCHE SNC - CAMANGHE,2, andata, FIGC
18/10/2025, ALME SQ.B, ZOGNESE SQ.B, PRIMI CALCI 7-8anni, L, 16:00, ALME VIA OLIMPIA 8,3, andata, FIGC
18/10/2025, BONATE SOTTO 1951 sq.B, ACCADEMIA SPORTIMAGNASQ.B, PRIMI CALCI 7-8anni, L, 14:00, BONATE SOTTO VIA GIUSEPPE GARIBALDI 15,3, andata, FIGC
18/10/2025, MONVICO A.S.D. sq.C, A.C. PONTE S.P. - MAPsq.D, PRIMI CALCI 7-8anni, L, 10:00, CARVICO VIA PEDRAZZI,3, andata, FIGC
18/10/2025, ORATORI ALZANESE A.S.SQ.B, CISANESE A.S.D. SQ.B, PRIMI CALCI 7-8anni, L, 15:30, ALZANO LOMBARDO FRAZIONE NESE VIA MONTELUNGO 3,3, andata, FIGC
25/10/2025, A.C. PONTE S.P. - MAPsq.D, ALME SQ.B, PRIMI CALCI 7-8anni, L, 14:15, MAPELLO VIA DEL LAZZARINO,4, andata, FIGC
25/10/2025, BONATE SOTTO 1951 sq.B, ORATORI ALZANESE A.S.SQ.B, PRIMI CALCI 7-8anni, L, 14:00, BONATE SOTTO VIA GIUSEPPE GARIBALDI 15,4, andata, FIGC
25/10/2025, LALLIO CALCIO SQ.B, MONVICO A.S.D. sq.C, PRIMI CALCI 7-8anni, L, 14:30, LALLIO VIA EVARISTO BASCHENIS,4, andata, FIGC
25/10/2025, ZOGNESE SQ.B, CISANESE A.S.D. SQ.B, PRIMI CALCI 7-8anni, L, 14:30, ZOGNO VIA CAMANCHE SNC - CAMANGHE,4, andata, FIGC
01/11/2025, ALME SQ.B, LALLIO CALCIO SQ.B, PRIMI CALCI 7-8anni, L, 16:00, ALME VIA OLIMPIA 8,5, andata, FIGC
01/11/2025, CISANESE A.S.D. SQ.B, A.C. PONTE S.P. - MAPsq.D, PRIMI CALCI 7-8anni, L, 15:00, CISANO BERGAMASCO VIA CA' DE' VOLPI 7,5, andata, FIGC
01/11/2025, MONVICO A.S.D. sq.C, ACCADEMIA SPORTIMAGNASQ.B, PRIMI CALCI 7-8anni, L, 10:00, CARVICO VIA PEDRAZZI,5, andata, FIGC
01/11/2025, ORATORI ALZANESE A.S.SQ.B, ZOGNESE SQ.B, PRIMI CALCI 7-8anni, L, 15:30, ALZANO LOMBARDO FRAZIONE NESE VIA MONTELUNGO 3,5, andata, FIGC
08/11/2025, A.C. PONTE S.P. - MAPsq.D, ZOGNESE SQ.B, PRIMI CALCI 7-8anni, L, 14:15, MAPELLO VIA DEL LAZZARINO,6, andata, FIGC
08/11/2025, ACCADEMIA SPORTIMAGNASQ.B, ALME SQ.B, PRIMI CALCI 7-8anni, L, 11:00, SANTOMOBONO TERME VIA ALLE FONTI 2,6, andata, FIGC
08/11/2025, BONATE SOTTO 1951 sq.B, MONVICO A.S.D. sq.C, PRIMI CALCI 7-8anni, L, 14:00, BONATE SOTTO VIA GIUSEPPE GARIBALDI 15,6, andata, FIGC
08/11/2025, LALLIO CALCIO SQ.B, CISANESE A.S.D. SQ.B, PRIMI CALCI 7-8anni, L, 14:30, LALLIO VIA EVARISTO BASCHENIS,6, andata, FIGC
15/11/2025, ALME SQ.B, BONATE SOTTO 1951 sq.B, PRIMI CALCI 7-8anni, L, 16:00, ALME VIA OLIMPIA 8,7, andata, FIGC
15/11/2025, CISANESE A.S.D. SQ.B, ACCADEMIA SPORTIMAGNASQ.B, PRIMI CALCI 7-8anni, L, 15:00, CISANO BERGAMASCO VIA CA' DE' VOLPI 7,7, andata, FIGC
15/11/2025, ORATORI ALZANESE A.S.SQ.B, A.C. PONTE S.P. - MAPsq.D, PRIMI CALCI 7-8anni, L, 15:30, ALZANO LOMBARDO FRAZIONE NESE VIA MONTELUNGO 3,7, andata, FIGC
15/11/2025, ZOGNESE SQ.B, LALLIO CALCIO SQ.B, PRIMI CALCI 7-8anni, L, 14:30, ZOGNO VIA CAMANCHE SNC - CAMANGHE,7, andata, FIGC
