Data, Squadra Casa, Squadra Ospite, Categoria, Girone, Ora, Indirizzo Campo, Giornata, A/R, Federazione
12/10/2025, Nosari Bianchi, Agnelli Olimpia B, Pulcini a 7, R, 16:00, Oratorio Sintetico Via Greppi 6 24122 Bergamo Immacolata, 1, Andata, CSI
11/10/2025, Or.Albino 2017, Nosari Rossi, Pulcini a 7, R, 14:30, Oratorio Sintetico Via Don C Rossi 10 24021 Albino, 1, Andata, CSI
11/10/2025, Pol.Dei Colli, Pol.Or.San Tomaso, Pulcini a 7, R, 14:30, Or.Ordival Sintetico Via Zarda 1 24123 Bergamo Valtesse, 1, Andata, CSI
12/10/2025, San Paolo Ap, Trealbe Calcio, Pulcini a 7, R, 14:30, Oratorio Sint Piazzale S Paolo 35 24128 Bergamo San Paolo, 1, Andata, CSI
11/10/2025, Or.Villaggiosposi, Agnelli Olimpia R, Pulcini a 7, R, 15:00, Oratorio Sintetico Via Cantu 1 24127 Bergamo Villaggio Sp, 1, Andata, CSI
18/10/2025, Trealbe Calcio, Or.Villaggiosposi, Pulcini a 7, R, 15:45, Oratorio Sintetico Piazza Conciliazione 1 24048 Treviolo Albegno, 2, Andata, CSI
18/10/2025, Pol.Or.San Tomaso, San Paolo Ap, Pulcini a 7, R, 14:00, Oratorio Sintetico Via Elba 17 24126 Bergamo San Tomaso, 2, Andata, CSI
18/10/2025, Nosari Rossi, Pol.Dei Colli, Pulcini a 7, R, 15:00, Oratorio Sintetico Via Greppi 6 24122 Bergamo Immacolata, 2, Andata, CSI
18/10/2025, Agnelli Olimpia B, Or.Albino 2017, Pulcini a 7, R, 15:30, Oratorio Sint Via B Go Palazzo 45 24125 Bergamo, 2, Andata, CSI
18/10/2025, Agnelli Olimpia R, Nosari Bianchi, Pulcini a 7, R, 14:30, Oratorio Sint Via B Go Palazzo 45 24125 Bergamo, 2, Andata, CSI
