Data,Squadra casa,Squadra ospite,Categoria,Girone,Ora di gioco,Indirizzo campo di gioco,Giornata,A/R,Federazione
04/10/2025,A.C. PONTE S.P. - MAPSQ.B,BREMBATE SOPRA C.1947 ASD,PULCINI 7>7 10 anni,A,17:30,PONTE SAN PIETRO ZONA CLINICA VIA XXIV MAGGIO,1,Andata,FIGC
04/10/2025,ACCADEMIA ISOLABERGAMASCA,ACCADEMIA SPORTIMAGNASQ.B,PULCINI 7>7 10 anni,A,17:00,FILAGO VIA ANTONIO LOCATELLI 42,1,Andata,FIGC
04/10/2025,LEMINE ALMENNO CALCIO,BONATE SOTTO 1951,PULCINI 7>7 10 anni,A,14:30,ALMENNO SAN BARTOLOMEO VIA F.LLI RONCELLI 2,1,Andata,FIGC
04/10/2025,MONVICO A.S.D.,PONTISOLA CALCIO SQ.B,PULCINI 7>7 10 anni,A,14:30,CARVICO VIA PEDRAZZI,1,Andata,FIGC
04/10/2025,VILLA VALLE SSD ARL,TREALBE CALCIO A.S.D.,PULCINI 7>7 10 anni,A,14:30,VILLA D'ALME' VIA RONCO BASSO 5,1,Andata,FIGC
11/10/2025,ACCADEMIA SPORTIMAGNASQ.B,VILLA VALLE SSD ARL,PULCINI 7>7 10 anni,A,15:00,BERBENNO VIA STOPPANI 114,2,Andata,FIGC
11/10/2025,BONATE SOTTO 1951,ACCADEMIA ISOLABERGAMASCA,PULCINI 7>7 10 anni,A,15:00,BONATE SOTTO VIA GARIBALDI 15,2,Andata,FIGC
11/10/2025,BREMBATE SOPRA C.1947 ASD,MONVICO A.S.D.,PULCINI 7>7 10 anni,A,15:30,BREMBATE DI SOPRA VIA DON GIOVANNI SALA SNC,2,Andata,FIGC
11/10/2025,PONTISOLA CALCIO SQ.B,LEMINE ALMENNO CALCIO,PULCINI 7>7 10 anni,A,, ,2,Andata,FIGC
11/10/2025,TREALBE CALCIO A.S.D.,A.C. PONTE S.P. - MAPSQ.B,PULCINI 7>7 10 anni,A,16:00,TREVIOLO VIA AERONAUTICA 3,2,Andata,FIGC
18/10/2025,ACCADEMIA ISOLABERGAMASCA,PONTISOLA CALCIO SQ.B,PULCINI 7>7 10 anni,A,17:00,FILAGO VIA ANTONIO LOCATELLI 42,3,Andata,FIGC
18/10/2025,LEMINE ALMENNO CALCIO,BREMBATE SOPRA C.1947 ASD,PULCINI 7>7 10 anni,A,14:30,ALMENNO SAN BARTOLOMEO VIA F.LLI RONCELLI 2,3,Andata,FIGC
