04/10/2025, Aurora Seriate 1967, Scanzorosciate Calcio ASD, Pulcini 7>7 10 anni BG, C, 14:00, Seriate Via Deco e Canetta 66,1, Andata, FIGC
04/10/2025, La Torre Calcio ASD, Calcio Gorle ASD, Pulcini 7>7 10 anni BG, C, 16:30, Torre Boldone Viale Lombardia 44,1, Andata, FIGC
04/10/2025, Polisportiva Dei Colli, Nembrese 1913, Pulcini 7>7 10 anni BG, C, 14:30, Bergamo Q.re Valtesse Via Baioni 16,1, Andata, FIGC
04/10/2025, Ponteranica, Citta  di Alzano1921 ASD, Pulcini 7>7 10 anni BG, C, 15:00, Ponteranica Via 8 Marzo 13,1, Andata, FIGC
04/10/2025, Rovetta U.S. ASD, Ares Redona, Pulcini 7>7 10 anni BG, C, 15:00, Onore Via Corni 376,1, Andata, FIGC
11/10/2025, Ares Redona, Aurora Seriate 1967, Pulcini 7>7 10 anni BG, C, 14:30, Bergamo Q.re Redona Via Goisis,2, Andata, FIGC
11/10/2025, Calcio Gorle ASD, Rovetta U.S. ASD, Pulcini 7>7 10 anni BG, C, 14:15, Gorle Via Roma 2A,2, Andata, FIGC
11/10/2025, Citta  di Alzano1921 ASD, La Torre Calcio ASD, Pulcini 7>7 10 anni BG, C, 14:30, Alzano Lombardo Via Europa 50,2, Andata, FIGC
11/10/2025, Nembrese 1913, Ponteranica, Pulcini 7>7 10 anni BG, C, 14:30, Nembro Via Nembrini SNC,2, Andata, FIGC
11/10/2025, Scanzorosciate Calcio ASD, Polisportiva Dei Colli, Pulcini 7>7 10 anni BG, C, 14:30, Scanzorosciate Via Polcarezzo 2,2, Andata, FIGC
18/10/2025, Aurora Seriate 1967, Calcio Gorle ASD, Pulcini 7>7 10 anni BG, C, 14:00, Seriate Via Deco e Canetta 66,3, Andata, FIGC
18/10/2025, Citta  di Alzano1921 ASD, Nembrese 1913, Pulcini 7>7 10 anni BG, C, 14:30, Alzano Lombardo Via Europa 50,3, Andata, FIGC
