04/10/2025, A.C. Ponte S.P. - MAPsq.C, Tritium Calcio 1908 ARL, Pulcini 7x7 9 anni, G, 14:15, Mapello VIA DEL LAZZARINO 1,1, andata, FIGC
04/10/2025, A.C. Ponte S.P. - Mapello, Atalanta Bergamasca C.SRL, Pulcini 7x7 9 anni, G, 16:00, Ponte San Pietro VIA XXIV MAGGIO,1, andata, FIGC
04/10/2025, Brembate Sopra C.1947 ASD, Monvico A.S.D., Pulcini 7x7 9 anni, G, 14:30, Brembate di Sopra VIA DON GIOVANNI SALA SNC,1, andata, FIGC
04/10/2025, Lallio Calcio, Villa Valle SSD ARL, Pulcini 7x7 9 anni, G, 14:30, Lallio VIA EVARISTO BASCHENIS,1, andata, FIGC
04/10/2025, Trealbe Calcio A.S.D., Cisanese A.S.D., Pulcini 7x7 9 anni, G, 14:30, Treviolo VIA AERONAUTICA 3,1, andata, FIGC
11/10/2025, Atalanta Bergamasca C.SRL, Brembate Sopra C.1947 ASD, Pulcini 7x7 9 anni, G, 14:30, Brembate VIA ORATORIO 20,2, andata, FIGC
11/10/2025, Cisanese A.S.D., Lallio Calcio, Pulcini 7x7 9 anni, G, 15:00, Cisano Bergamasco VIA CA'DE VOLPI 7,2, andata, FIGC
11/10/2025, Monvico A.S.D., A.C. Ponte S.P. - MAPsq.C, Pulcini 7x7 9 anni, G, 14:30, Carvico VIA PEDRAZZI,2, andata, FIGC
11/10/2025, Tritium Calcio 1908 ARL, Trealbe Calcio A.S.D., Pulcini 7x7 9 anni, G, 14:30, Trezzo sull'Adda VIA ROCCA 19,2, andata, FIGC
11/10/2025, Villa Valle SSD ARL, A.C. Ponte S.P. - Mapello, Pulcini 7x7 9 anni, G, 17:00, Villa d'Almè VIA RONCO BASSO 5,2, andata, FIGC
18/10/2025, A.C. Ponte S.P. - MAPsq.C, Atalanta Bergamasca C.SRL, Pulcini 7x7 9 anni, G, 14:15, Mapello VIA DEL LAZZARINO 1,3, andata, FIGC
18/10/2025, A.C. Ponte S.P. - Mapello, Lallio Calcio, Pulcini 7x7 9 anni, G, 16:00, Ponte San Pietro VIA XXIV MAGGIO 1,3, andata, FIGC
18/10/2025, Brembate Sopra C.1947 ASD, Villa Valle SSD ARL, Pulcini 7x7 9 anni, G, 14:30, Brembate di Sopra VIA DON GIOVANNI SALA SNC,3, andata, FIGC
18/10/2025, Cisanese A.S.D., Tritium Calcio 1908 ARL, Pulcini 7x7 9 anni, G, 15:00, Cisano Bergamasco VIA CA'DE VOLPI 7,3, andata, FIGC
18/10/2025, Trealbe Calcio A.S.D., Monvico A.S.D., Pulcini 7x7 9 anni, G, 14:30, Treviolo VIA AERONAUTICA 3,3, andata, FIGC
25/10/2025, A.C. Ponte S.P. - Mapello, Cisanese A.S.D., Pulcini 7x7 9 anni, G, 16:00, Ponte San Pietro VIA XXIV MAGGIO 1,4, andata, FIGC
25/10/2025, Atalanta Bergamasca C.SRL, Trealbe Calcio A.S.D., Pulcini 7x7 9 anni, G, 14:30, Brembate VIA ORATORIO 20,4, andata, FIGC
25/10/2025, Lallio Calcio, Brembate Sopra C.1947 ASD, Pulcini 7x7 9 anni, G, 14:30, Lallio VIA EVARISTO BASCHENIS 1,4, andata, FIGC
25/10/2025, Monvico A.S.D., Tritium Calcio 1908 ARL, Pulcini 7x7 9 anni, G, 14:30, Carvico VIA PEDRAZZI,4, andata, FIGC
