Data,Squadra Casa,Squadra Ospite,Categoria,Girone,Ora,Indirizzo Campo,Giornata,A/R,Federazione
11/10/2025,P.Ghezzi Blu,Excelsior,Esordienti a 11,D,14:30,Oratorio Via Cristo Risorto 20 20062 Cassano D'Adda,1,A,CSI
11/10/2025,P.Ghezzi Gialli,Virescit,Esordienti a 11,D,15:30,Oratorio Via Cristo Risorto 20 20062 Cassano D'Adda,1,A,CSI
11/10/2025,Pol.Dei Colli,Boca Arancio,Esordienti a 11,D,14:30,Utili Via Baioni 46 24123 Bergamo,1,A,CSI
11/10/2025,Agnelli Olimpia,Pons Aureoli,Esordienti a 11,D,14:30,Oratorio Sint Via B.Go Palazzo 45 24125 Bergamo,1,A,CSI
18/10/2025,Pons Aureoli,Fiorita Bianchi,Esordienti a 11,D,16:00,Oratorio Via Vallazza 6 24040 Canonica D'Adda,2,A,CSI
18/10/2025,Boca Arancio,Agnelli Olimpia,Esordienti a 11,D,16:15,Oratorio Sint Via SGBosco 1 24040 Boltiere,2,A,CSI
18/10/2025,Virescit,Pol.Dei Colli,Esordienti a 11,D,15:15,Comunale Via Lochis 24129 Bergamo/Longuelo,2,A,CSI
18/10/2025,Excelsior,P.Ghezzi Gialli,Esordienti a 11,D,15:30,Excelsior Viale GCesare Sintetico 24123 Bergamo,2,A,CSI
25/10/2025,P.Ghezzi Gialli,P.Ghezzi Blu,Esordienti a 11,D,15:30,Oratorio Via Cristo Risorto 20 20062 Cassano D'Adda,3,A,CSI
25/10/2025,Pol.Dei Colli,Excelsior,Esordienti a 11,D,14:30,Utili Via Baioni 46 24123 Bergamo,3,A,CSI
25/10/2025,Agnelli Olimpia,Virescit,Esordienti a 11,D,14:30,Oratorio Sint Via B.Go Palazzo 45 24125 Bergamo,3,A,CSI
25/10/2025,Fiorita Bianchi,Boca Arancio,Esordienti a 11,D,15:30,OrSFNeri Sint Via XXV Aprile 1 24058 Romano di Lombardia,3,A,CSI
01/11/2025,Boca Arancio,Pons Aureoli,Esordienti a 11,D,16:15,Oratorio Sint Via SGBosco 1 24040 Boltiere,4,A,CSI
01/11/2025,Virescit,Fiorita Bianchi,Esordienti a 11,D,15:15,Comunale Via Lochis 24129 Bergamo/Longuelo,4,A,CSI
01/11/2025,Excelsior,Agnelli Olimpia,Esordienti a 11,D,15:30,Excelsior Viale GCesare Sintetico 24123 Bergamo,4,A,CSI
01/11/2025,P.Ghezzi Blu,Pol.Dei Colli,Esordienti a 11,D,14:30,Oratorio Via Cristo Risorto 20 20062 Cassano D'Adda,4,A,CSI
08/11/2025,Pol.Dei Colli,P.Ghezzi Gialli,Esordienti a 11,D,14:30,Utili Via Baioni 46 24123 Bergamo,5,A,CSI
08/11/2025,Agnelli Olimpia,P.Ghezzi Blu,Esordienti a 11,D,14:30,Oratorio Sint Via B.Go Palazzo 45 24125 Bergamo,5,A,CSI
08/11/2025,Fiorita Bianchi,Excelsior,Esordienti a 11,D,15:30,OrSFNeri Sint Via XXV Aprile 1 24058 Romano di Lombardia,5,A,CSI
08/11/2025,Pons Aureoli,Virescit,Esordienti a 11,D,16:00,Oratorio Via Vallazza 6 24040 Canonica D'Adda,5,A,CSI
15/11/2025,Virescit,Boca Arancio,Esordienti a 11,D,15:15,Comunale Via Lochis 24129 Bergamo/Longuelo,6,A,CSI
15/11/2025,Excelsior,Pons Aureoli,Esordienti a 11,D,15:30,Excelsior Viale GCesare Sintetico 24123 Bergamo,6,A,CSI
15/11/2025,P.Ghezzi Blu,Fiorita Bianchi,Esordienti a 11,D,14:30,Oratorio Via Cristo Risorto 20 20062 Cassano D'Adda,6,A,CSI
15/11/2025,P.Ghezzi Gialli,Agnelli Olimpia,Esordienti a 11,D,15:30,Oratorio Via Cristo Risorto 20 20062 Cassano D'Adda,6,A,CSI
22/11/2025,Agnelli Olimpia,Pol.Dei Colli,Esordienti a 11,D,14:30,Oratorio Sint Via B.Go Palazzo 45 24125 Bergamo,7,A,CSI
22/11/2025,Fiorita Bianchi,P.Ghezzi Gialli,Esordienti a 11,D,15:30,OrSFNeri Sint Via XXV Aprile 1 24058 Romano di Lombardia,7,A,CSI
22/11/2025,Pons Aureoli,P.Ghezzi Blu,Esordienti a 11,D,16:00,Oratorio Via Vallazza 6 24040 Canonica D'Adda,7,A,CSI
22/11/2025,Boca Arancio,Excelsior,Esordienti a 11,D,16:15,Oratorio Sint Via SGBosco 1 24040 Boltiere,7,A,CSI
29/11/2025,Excelsior,Virescit,Esordienti a 11,D,15:30,Excelsior Viale GCesare Sintetico 24123 Bergamo,8,A,CSI
29/11/2025,P.Ghezzi Blu,Boca Arancio,Esordienti a 11,D,14:30,Oratorio Via Cristo Risorto 20 20062 Cassano D'Adda,8,A,CSI
29/11/2025,P.Ghezzi Gialli,Pons Aureoli,Esordienti a 11,D,15:30,Oratorio Via Cristo Risorto 20 20062 Cassano D'Adda,8,A,CSI
29/11/2025,Pol.Dei Colli,Fiorita Bianchi,Esordienti a 11,D,14:30,Utili Via Baioni 46 24123 Bergamo,8,A,CSI
06/12/2025,Fiorita Bianchi,Agnelli Olimpia,Esordienti a 11,D,15:30,OrSFNeri Sint Via XXV Aprile 1 24058 Romano di Lombardia,9,A,CSI
06/12/2025,Pons Aureoli,Pol.Dei Colli,Esordienti a 11,D,16:00,Oratorio Via Vallazza 6 24040 Canonica D'Adda,9,A,CSI
06/12/2025,Boca Arancio,P.Ghezzi Gialli,Esordienti a 11,D,16:15,Oratorio Sint Via SGBosco 1 24040 Boltiere,9,A,CSI
06/12/2025,Virescit,P.Ghezzi Blu,Esordienti a 11,D,15:15,Comunale Via Lochis 24129 Bergamo/Longuelo,9,A,CSI
07/02/2026,Excelsior,P.Ghezzi Blu,Esordienti a 11,D,15:30,Excelsior Viale GCesare Sintetico 24123 Bergamo,10,R,CSI
07/02/2026,Virescit,P.Ghezzi Gialli,Esordienti a 11,D,15:15,Comunale Via Lochis 24129 Bergamo/Longuelo,10,R,CSI
07/02/2026,Boca Arancio,Pol.Dei Colli,Esordienti a 11,D,16:15,Oratorio Sint Via SGBosco 1 24040 Boltiere,10,R,CSI
07/02/2026,Pons Aureoli,Agnelli Olimpia,Esordienti a 11,D,16:00,Oratorio Via Vallazza 6 24040 Canonica D'Adda,10,R,CSI
14/02/2026,Fiorita Bianchi,Pons Aureoli,Esordienti a 11,D,15:30,OrSFNeri Sint Via XXV Aprile 1 24058 Romano di Lombardia,11,R,CSI
14/02/2026,Agnelli Olimpia,Boca Arancio,Esordienti a 11,D,14:30,Oratorio Sint Via B.Go Palazzo 45 24125 Bergamo,11,R,CSI
14/02/2026,Pol.Dei Colli,Virescit,Esordienti a 11,D,14:30,Utili Via Baioni 46 24123 Bergamo,11,R,CSI
14/02/2026,P.Ghezzi Gialli,Excelsior,Esordienti a 11,D,15:30,Oratorio Via Cristo Risorto 20 20062 Cassano D'Adda,11,R,CSI
21/02/2026,P.Ghezzi Blu,P.Ghezzi Gialli,Esordienti a 11,D,14:30,Oratorio Via Cristo Risorto 20 20062 Cassano D'Adda,12,R,CSI
21/02/2026,Excelsior,Pol.Dei Colli,Esordienti a 11,D,15:30,Excelsior Viale GCesare Sintetico 24123 Bergamo,12,R,CSI
21/02/2026,Virescit,Agnelli Olimpia,Esordienti a 11,D,15:15,Comunale Via Lochis 24129 Bergamo/Longuelo,12,R,CSI
21/02/2026,Boca Arancio,Fiorita Bianchi,Esordienti a 11,D,16:15,Oratorio Sint Via SGBosco 1 24040 Boltiere,12,R,CSI
28/02/2026,Pons Aureoli,Boca Arancio,Esordienti a 11,D,16:00,Oratorio Via Vallazza 6 24040 Canonica D'Adda,13,R,CSI
28/02/2026,Fiorita Bianchi,Virescit,Esordienti a 11,D,15:30,OrSFNeri Sint Via XXV Aprile 1 24058 Romano di Lombardia,13,R,CSI
28/02/2026,Agnelli Olimpia,Excelsior,Esordienti a 11,D,14:30,Oratorio Sint Via B.Go Palazzo 45 24125 Bergamo,13,R,CSI
28/02/2026,Pol.Dei Colli,P.Ghezzi Blu,Esordienti a 11,D,14:30,Utili Via Baioni 46 24123 Bergamo,13,R,CSI
07/03/2026,P.Ghezzi Gialli,Pol.Dei Colli,Esordienti a 11,D,15:30,Oratorio Via Cristo Risorto 20 20062 Cassano D'Adda,14,R,CSI
07/03/2026,P.Ghezzi Blu,Agnelli Olimpia,Esordienti a 11,D,14:30,Oratorio Via Cristo Risorto 20 20062 Cassano D'Adda,14,R,CSI
07/03/2026,Excelsior,Fiorita Bianchi,Esordienti a 11,D,15:30,Excelsior Viale GCesare Sintetico 24123 Bergamo,14,R,CSI
07/03/2026,Virescit,Pons Aureoli,Esordienti a 11,D,15:15,Comunale Via Lochis 24129 Bergamo/Longuelo,14,R,CSI
14/03/2026,Boca Arancio,Virescit,Esordienti a 11,D,16:15,Oratorio Sint Via SGBosco 1 24040 Boltiere,15,R,CSI
