Data,squadra casa,squadra ospite,categoria,girone,ora di gioco,indirizzo campo di gioco,giornata,A/R,federazione
04/10/2025,A.C. PONTE S.P. - MAPsq.C,BREMBATE SOPRA C.1947 ASD,ESORDIENTI 12 anni,C,17:40,MAPELLO VIA DEL LAZZARINO 1,1,Andata,FIGC
04/10/2025,ACCADEMIA SPORTIMAGNA,ALME,ESORDIENTI 12 anni,C,16:30,SANT'OMOBONO TERME VIA ALLE FONTI 2,1,Andata,FIGC
04/10/2025,BERGAMO FC 1971 ASD,U.S.CALCIO SAN PELLEGRINO,ESORDIENTI 12 anni,C,15:30,BERGAMO Q.RE LORETO VIA MEUCCI,1,Andata,FIGC
04/10/2025,FIORENTE 1946 COLOGNOSQ.B,ZOGNESE,ESORDIENTI 12 anni,C,16:00,BERGAMO Q.RE COLOGNOLA VIA S.SISTO 9,1,Andata,FIGC
04/10/2025,LEMINE ALMENNO CALCIO,PALADINA,ESORDIENTI 12 anni,C,15:00,ALMENNO SAN SALVATORE VIA LEMEN N1,1,Andata,FIGC
31/01/2026,BREMBATE SOPRA C.1947 ASD,A.C. PONTE S.P. - MAPsq.C,ESORDIENTI 12 anni,C,14:30,BREMBATE DI SOPRA VIA DON GIOVANNI SALA SNC,1,Ritorno,FIGC
31/01/2026,ALME,ACCADEMIA SPORTIMAGNA,ESORDIENTI 12 anni,C,16:30,ALME' VIA OLIMPIA 8,1,Ritorno,FIGC
31/01/2026,U.S.CALCIO SAN PELLEGRINO,BERGAMO FC 1971 ASD,ESORDIENTI 12 anni,C,15:30,SAN PELLEGRINO TERME VIA B.BELOTTI 2,1,Ritorno,FIGC
31/01/2026,ZOGNESE,FIORENTE 1946 COLOGNOSQ.B,ESORDIENTI 12 anni,C,16:00,ZOGNO VIA CAMANCHE SNC,1,Ritorno,FIGC
31/01/2026,PALADINA,LEMINE ALMENNO CALCIO,ESORDIENTI 12 anni,C,15:00,PALADINA VIA DEGLI ALPINI 1,1,Ritorno,FIGC
