Data,squadra casa,squadra ospite,categoria,girone,ora di gioco,indirizzo campo di gioco,giornata,A/R,federazione
04/10/2025,ALME,LEMINE ALMENNO CALCIO,ESORDIENTI 11anni,D,14:30,ALME VIA OLIMPIA 8,1,ANDATA,FIGC
04/10/2025,CITTA DI ALZANO1921 ASD,RANICA CALCIO,ESORDIENTI 11anni,D,14:30,ALZANO LOMBARDO VIA GRAZIOLI ANG BALDUZZI 11,1,ANDATA,FIGC
04/10/2025,ROVETTA U.S. A.S.D. SQ.B,FIORENTE 1946 COLOGNOLA,ESORDIENTI 11anni,D,15:45,ROVETTA VIA PAPA GIOVANNI XXIII 12C,1,ANDATA,FIGC
04/10/2025,U.S.CALCIO SAN PELLEGRINO,ORATORIO SAN TOMASO,ESORDIENTI 11anni,D,16:30,SAN PELLEGRINO TERME VIA B BELOTTI 2,1,ANDATA,FIGC
04/10/2025,ZOGNESE,ARES REDONA,ESORDIENTI 11anni,D,16:00,ZOGNO VIA CAMANCHE SNC,1,ANDATA,FIGC
31/01/2026,LEMINE ALMENNO CALCIO,ALME,ESORDIENTI 11anni,D,14:30,ALMENNO SAN SALVATORE VIA LEMEN N1,1,RITORNO,FIGC
31/01/2026,RANICA CALCIO,CITTA DI ALZANO1921 ASD,ESORDIENTI 11anni,D,09:00,RANICA PIAZZA L BERTETT SNC,1,RITORNO,FIGC
31/01/2026,FIORENTE 1946 COLOGNOLA,ROVETTA U.S. A.S.D. SQ.B,ESORDIENTI 11anni,D,14:30,BERGAMO Q.RE COLOGNOLA VIA S SISTO 9,1,RITORNO,FIGC
31/01/2026,ORATORIO SAN TOMASO,U.S.CALCIO SAN PELLEGRINO,ESORDIENTI 11anni,D,16:00,BERGAMO Q.RE S TOMASO VIA SAN TOMASO DE CALVI 26,1,RITORNO,FIGC
31/01/2026,ARES REDONA,ZOGNESE,ESORDIENTI 11anni,D,15:45,BERGAMO Q.RE REDONA VIA GOISIS,1,RITORNO,FIGC
11/10/2025,ARES REDONA,CITTA DI ALZANO1921 ASD,ESORDIENTI 11anni,D,15:45,BERGAMO Q.RE REDONA VIA GOISIS,2,ANDATA,FIGC
11/10/2025,FIORENTE 1946 COLOGNOLA,ALME,ESORDIENTI 11anni,D,14:30,BERGAMO Q.RE COLOGNOLA VIA S SISTO 9,2,ANDATA,FIGC
11/10/2025,LEMINE ALMENNO CALCIO,ZOGNESE,ESORDIENTI 11anni,D,14:30,ALMENNO SAN SALVATORE VIA LEMEN N1,2,ANDATA,FIGC
11/10/2025,ORATORIO SAN TOMASO,ROVETTA U.S. A.S.D. SQ.B,ESORDIENTI 11anni,D,16:00,BERGAMO Q.RE S TOMASO VIA SAN TOMASO DE CALVI 26,2,ANDATA,FIGC
11/10/2025,RANICA CALCIO,U.S.CALCIO SAN PELLEGRINO,ESORDIENTI 11anni,D,09:00,RANICA PIAZZA L BERTETT SNC,2,ANDATA,FIGC
07/02/2026,CITTA DI ALZANO1921 ASD,ARES REDONA,ESORDIENTI 11anni,D,14:30,ALZANO LOMBARDO VIA GRAZIOLI ANG BALDUZZI 11,2,RITORNO,FIGC
07/02/2026,ALME,FIORENTE 1946 COLOGNOLA,ESORDIENTI 11anni,D,14:30,ALME VIA OLIMPIA 8,2,RITORNO,FIGC
07/02/2026,ZOGNESE,LEMINE ALMENNO CALCIO,ESORDIENTI 11anni,D,16:00,ZOGNO VIA CAMANCHE SNC,2,RITORNO,FIGC
07/02/2026,ROVETTA U.S. A.S.D. SQ.B,ORATORIO SAN TOMASO,ESORDIENTI 11anni,D,15:45,ROVETTA VIA PAPA GIOVANNI XXIII 12C,2,RITORNO,FIGC
07/02/2026,U.S.CALCIO SAN PELLEGRINO,RANICA CALCIO,ESORDIENTI 11anni,D,16:30,SAN PELLEGRINO TERME VIA B BELOTTI 2,2,RITORNO,FIGC
18/10/2025,CITTA DI ALZANO1921 ASD,LEMINE ALMENNO CALCIO,ESORDIENTI 11anni,D,14:30,ALZANO LOMBARDO VIA GRAZIOLI ANG BALDUZZI 11,3,ANDATA,FIGC
18/10/2025,FIORENTE 1946 COLOGNOLA,ORATORIO SAN TOMASO,ESORDIENTI 11anni,D,14:30,BERGAMO Q.RE COLOGNOLA VIA S SISTO 9,3,ANDATA,FIGC
18/10/2025,ROVETTA U.S. A.S.D. SQ.B,RANICA CALCIO,ESORDIENTI 11anni,D,15:45,ROVETTA VIA PAPA GIOVANNI XXIII 12C,3,ANDATA,FIGC
18/10/2025,U.S.CALCIO SAN PELLEGRINO,ARES REDONA,ESORDIENTI 11anni,D,16:30,SAN PELLEGRINO TERME VIA B BELOTTI 2,3,ANDATA,FIGC
18/10/2025,ZOGNESE,ALME,ESORDIENTI 11anni,D,16:00,ZOGNO VIA CAMANCHE SNC,3,ANDATA,FIGC
14/02/2026,LEMINE ALMENNO CALCIO,CITTA DI ALZANO1921 ASD,ESORDIENTI 11anni,D,14:30,ALMENNO SAN SALVATORE VIA LEMEN N1,3,RITORNO,FIGC
14/02/2026,ORATORIO SAN TOMASO,FIORENTE 1946 COLOGNOLA,ESORDIENTI 11anni,D,16:00,BERGAMO Q.RE S TOMASO VIA SAN TOMASO DE CALVI 26,3,RITORNO,FIGC
14/02/2026,RANICA CALCIO,ROVETTA U.S. A.S.D. SQ.B,ESORDIENTI 11anni,D,09:00,RANICA PIAZZA L BERTETT SNC,3,RITORNO,FIGC
14/02/2026,ARES REDONA,U.S.CALCIO SAN PELLEGRINO,ESORDIENTI 11anni,D,15:45,BERGAMO Q.RE REDONA VIA GOISIS,3,RITORNO,FIGC
14/02/2026,ALME,ZOGNESE,ESORDIENTI 11anni,D,14:30,ALME VIA OLIMPIA 8,3,RITORNO,FIGC
25/10/2025,ALME,CITTA DI ALZANO1921 ASD,ESORDIENTI 11anni,D,14:30,ALME VIA OLIMPIA 8,4,ANDATA,FIGC
25/10/2025,ARES REDONA,ROVETTA U.S. A.S.D. SQ.B,ESORDIENTI 11anni,D,15:45,BERGAMO Q.RE REDONA VIA GOISIS,4,ANDATA,FIGC
25/10/2025,LEMINE ALMENNO CALCIO,U.S.CALCIO SAN PELLEGRINO,ESORDIENTI 11anni,D,14:30,ALMENNO SAN SALVATORE VIA LEMEN N1,4,ANDATA,FIGC
25/10/2025,RANICA CALCIO,ORATORIO SAN TOMASO,ESORDIENTI 11anni,D,09:00,RANICA PIAZZA L BERTETT SNC,4,ANDATA,FIGC
25/10/2025,ZOGNESE,FIORENTE 1946 COLOGNOLA,ESORDIENTI 11anni,D,16:00,ZOGNO VIA CAMANCHE SNC,4,ANDATA,FIGC
21/02/2026,CITTA DI ALZANO1921 ASD,ALME,ESORDIENTI 11anni,D,14:30,ALZANO LOMBARDO VIA GRAZIOLI ANG BALDUZZI 11,4,RITORNO,FIGC
21/02/2026,ROVETTA U.S. A.S.D. SQ.B,ARES REDONA,ESORDIENTI 11anni,D,15:45,ROVETTA VIA PAPA GIOVANNI XXIII 12C,4,RITORNO,FIGC
