Data,squadra casa,squadra ospite,categoria,girone,ora di gioco,indirizzo campo di gioco,giornata,A/R,federazione
04/10/2025,Accademia Sportimagna,Pontisola Calcio SQ.B,Esordienti 11 anni,E,14:30,Sant'Omobono Terme VIA ALLE FONTI 2,1,andata,FIGC
04/10/2025,Azzano Calcio ASD,Lallio Calcio,Esordienti 11 anni,E,16:30,Azzano San Paolo VIA STEZZANO 33,1,andata,FIGC
04/10/2025,Bonate Sotto 1951,Brembate Sopra C.1947 ASD,Esordienti 11 anni,E,15:00,Bonate Sotto VIA GARIBALDI 15,1,andata,FIGC
04/10/2025,Locate Bergamasco A.S.D.,Oriens Oratorio Brembate,Esordienti 11 anni,E,15:00,Ponte San Pietro fraz. Locate VIA RIMEMBRANZE 14,1,andata,FIGC
04/10/2025,Oratorio Urgnanese Calcio,Monvico A.S.D.,Esordienti 11 anni,E,15:00,Urgano VIA LARGO DELLO SPORT 127,1,andata,FIGC
11/10/2025,Brembate Sopra C.1947 ASD,Oratorio Urgnanese Calcio,Esordienti 11 anni,E,15:45,Brembate di Sopra VIA DON GIOVANNI SALA SNC,2,andata,FIGC
11/10/2025,Lallio Calcio,Bonate Sotto 1951,Esordienti 11 anni,E,16:15,Lallio VIA GRAZIA DELEDDA,2,andata,FIGC
11/10/2025,Monvico A.S.D.,Locate Bergamasco A.S.D.,Esordienti 11 anni,E,15:30,Carvico VIA PEDRAZZI,2,andata,FIGC
11/10/2025,Oriens Oratorio Brembate,Accademia Sportimagna,Esordienti 11 anni,E,14:30,Brembate VIA MARCONI,2,andata,FIGC
11/10/2025,Pontisola Calcio SQ.B,Azzano Calcio ASD,Esordienti 11 anni,E,16:00,Curno fz. Marigolda VIA ABRUZZI 9,2,andata,FIGC
18/10/2025,Azzano Calcio ASD,Accademia Sportimagna,Esordienti 11 anni,E,16:30,Azzano San Paolo VIA STEZZANO 33,3,andata,FIGC
18/10/2025,Bonate Sotto 1951,Pontisola Calcio SQ.B,Esordienti 11 anni,E,15:00,Bonate Sotto VIA GARIBALDI 15,3,andata,FIGC
18/10/2025,Locate Bergamasco A.S.D.,Brembate Sopra C.1947 ASD,Esordienti 11 anni,E,15:00,Ponte San Pietro fraz. Locate VIA RIMEMBRANZE 14,3,andata,FIGC
18/10/2025,Oratorio Urgnanese Calcio,Lallio Calcio,Esordienti 11 anni,E,15:00,Urgano VIA LARGO DELLO SPORT 127,3,andata,FIGC
18/10/2025,Oriens Oratorio Brembate,Monvico A.S.D.,Esordienti 11 anni,E,14:30,Brembate VIA MARCONI,3,andata,FIGC
25/10/2025,Accademia Sportimagna,Bonate Sotto 1951,Esordienti 11 anni,E,14:30,Sant'Omobono Terme VIA ALLE FONTI 2,4,andata,FIGC
25/10/2025,Azzano Calcio ASD,Oriens Oratorio Brembate,Esordienti 11 anni,E,16:30,Azzano San Paolo VIA STEZZANO 33,4,andata,FIGC
25/10/2025,Brembate Sopra C.1947 ASD,Monvico A.S.D.,Esordienti 11 anni,E,15:45,Brembate di Sopra VIA DON GIOVANNI SALA SNC,4,andata,FIGC
25/10/2025,Lallio Calcio,Locate Bergamasco A.S.D.,Esordienti 11 anni,E,16:15,Lallio VIA GRAZIA DELEDDA,4,andata,FIGC
25/10/2025,Pontisola Calcio SQ.B,Oratorio Urgnanese Calcio,Esordienti 11 anni,E,16:00,Curno fz. Marigolda VIA ABRUZZI 9,4,andata,FIGC
01/11/2025,Bonate Sotto 1951,Azzano Calcio ASD,Esordienti 11 anni,E,15:00,Bonate Sotto VIA GARIBALDI 15,5,andata,FIGC
01/11/2025,Locate Bergamasco A.S.D.,Pontisola Calcio SQ.B,Esordienti 11 anni,E,15:00,Ponte San Pietro fraz. Locate VIA RIMEMBRANZE 14,5,andata,FIGC
01/11/2025,Monvico A.S.D.,Lallio Calcio,Esordienti 11 anni,E,15:30,Carvico VIA PEDRAZZI,5,andata,FIGC
01/11/2025,Oratorio Urgnanese Calcio,Accademia Sportimagna,Esordienti 11 anni,E,15:00,Urgano VIA LARGO DELLO SPORT 127,5,andata,FIGC
01/11/2025,Oriens Oratorio Brembate,Brembate Sopra C.1947 ASD,Esordienti 11 anni,E,14:30,Brembate VIA MARCONI,5,andata,FIGC
08/11/2025,Accademia Sportimagna,Locate Bergamasco A.S.D.,Esordienti 11 anni,E,14:30,Sant'Omobono Terme VIA ALLE FONTI 2,6,andata,FIGC
08/11/2025,Azzano Calcio ASD,Oratorio Urgnanese Calcio,Esordienti 11 anni,E,16:30,Azzano San Paolo VIA STEZZANO 33,6,andata,FIGC
08/11/2025,Bonate Sotto 1951,Oriens Oratorio Brembate,Esordienti 11 anni,E,15:00,Bonate Sotto VIA GARIBALDI 15,6,andata,FIGC
08/11/2025,Lallio Calcio,Brembate Sopra C.1947 ASD,Esordienti 11 anni,E,16:15,Lallio VIA GRAZIA DELEDDA,6,andata,FIGC
08/11/2025,Pontisola Calcio SQ.B,Monvico A.S.D.,Esordienti 11 anni,E,16:00,Curno fz. Marigolda VIA ABRUZZI 9,6,andata,FIGC
31/01/2026,Pontisola Calcio SQ.B,Accademia Sportimagna,Esordienti 11 anni,E,16:00,Curno fz. Marigolda VIA ABRUZZI 9,1,ritorno,FIGC
31/01/2026,Lallio Calcio,Azzano Calcio ASD,Esordienti 11 anni,E,16:15,Lallio VIA GRAZIA DELEDDA,1,ritorno,FIGC
