Data,squadra casa,squadra ospite,categoria,girone,ora di gioco,indirizzo campo di gioco,giornata,A/R,federazione
04/10/2025,EXCELSIOR SEZ. CALCIO ASD,CELADINA,ESORDIENTI MISTI 9v9 AUT.-BG-,A,15:30,"BERGAMO Q.RE S.CATERINA - VIALE GIULIO CESARE,5",1,andata,FIGC
07/02/2026,CELADINA,EXCELSIOR SEZ. CALCIO ASD,ESORDIENTI MISTI 9v9 AUT.-BG-,A,15:00,BERGAMO Q.RE CELADINA - VIA PIZZO SCAIS 1,1,ritorno,FIGC
04/10/2025,GRASSOBBIO,ORATORIO SAN TOMASO,ESORDIENTI MISTI 9v9 AUT.-BG-,A,14:30,"GRASSOBBIO - VIA XXV APRILE,80",1,andata,FIGC
07/02/2026,ORATORIO SAN TOMASO,GRASSOBBIO,ESORDIENTI MISTI 9v9 AUT.-BG-,A,14:30,"BERGAMO Q.RE S.TOMASO - VIA SAN TOMASO DE' CALVI, 26",1,ritorno,FIGC
04/10/2025,MALPENSATA CAMPAGNOLA,BERGAMO FC 1971 ASD,ESORDIENTI MISTI 9v9 AUT.-BG-,A,14:45,BERGAMO Q.RE CAMPAGNOLA - VIA GASPARINI,1,andata,FIGC
07/02/2026,BERGAMO FC 1971 ASD,MALPENSATA CAMPAGNOLA,ESORDIENTI MISTI 9v9 AUT.-BG-,A,15:30,BERGAMO Q.RE LORETO - VIA MEUCCI,1,ritorno,FIGC
04/10/2025,PONTERANICA,LALLIO CALCIO,ESORDIENTI MISTI 9v9 AUT.-BG-,A,15:00,PONTERANICA - VIA VIII MARZO,1,andata,FIGC
07/02/2026,LALLIO CALCIO,PONTERANICA,ESORDIENTI MISTI 9v9 AUT.-BG-,A,14:30,LALLIO - VIA GRAZIA DELEDDA,1,ritorno,FIGC
04/10/2025,TREALBE CALCIO A.S.D.,ACC.CALCIO A.V. BREMBANA,ESORDIENTI MISTI 9v9 AUT.-BG-,A,14:30,TREVIOLO - VIA AREONAUTICA N.3,1,andata,FIGC
07/02/2026,ACC.CALCIO A.V. BREMBANA,TREALBE CALCIO A.S.D.,ESORDIENTI MISTI 9v9 AUT.-BG-,A,15:30,SAN GIOVANNI BIANCO - VIA BRIOLO ENTRO SNC,1,ritorno,FIGC
11/10/2025,ACC.CALCIO A.V. BREMBANA,PONTERANICA,ESORDIENTI MISTI 9v9 AUT.-BG-,A,15:30,SAN GIOVANNI BIANCO - VIA BRIOLO ENTRO SNC,2,andata,FIGC
14/02/2026,PONTERANICA,ACC.CALCIO A.V. BREMBANA,ESORDIENTI MISTI 9v9 AUT.-BG-,A,15:00,PONTERANICA - VIA VIII MARZO,2,ritorno,FIGC
11/10/2025,BERGAMO FC 1971 ASD,TREALBE CALCIO A.S.D.,ESORDIENTI MISTI 9v9 AUT.-BG-,A,15:30,BERGAMO Q.RE LORETO - VIA MEUCCI,2,andata,FIGC
