Data, squadra casa, squadra ospite, categoria, girone, ora di gioco, indirizzo campo di gioco, giornata, A/R, federazione
04/10/2025, AZZANO CALCIO ASD, CALCIO GORLE A.S.D. SQ.B, PRIMI CALCI 7-8anni, D, 15:00, AZZANO SAN PAOLO VIA STEZZANO 33,1, andata, FIGC
04/10/2025, CALCIO PEDRENGO C.S.D.ASD, AURORA SERIATE 1967 SQ.B, PRIMI CALCI 7-8anni, D, 14:30, PEDRENGO VIA GIARDINI 12A,1, andata, FIGC
04/10/2025, CAVERNAGO, POL. COM. GHISALBA CASQ.B, PRIMI CALCI 7-8anni, D, 14:15, CAVERNAGO VIA UNGARETTI 66,1, andata, FIGC
04/10/2025, LALLIO CALCIO sq.C, FIORENTE 1946 COLOGNOLA, PRIMI CALCI 7-8anni, D, 14:30, LALLIO VIA EVARISTO BASCHENIS,1, andata, FIGC
04/10/2025, REAL BOLGARE SQ.B, U.S.O. ZANICA ASD, PRIMI CALCI 7-8anni, D, 14:30, BOLGARE VIA ORIANA FALLACI,1, andata, FIGC
11/10/2025, AURORA SERIATE 1967 SQ.B, LALLIO CALCIO sq.C, PRIMI CALCI 7-8anni, D, 15:30, SERIATE VIA PO 25,2, andata, FIGC
11/10/2025, CALCIO GORLE A.S.D. SQ.B, REAL BOLGARE SQ.B, PRIMI CALCI 7-8anni, D, 10:00, GORLE VIA ROMA 2A,2, andata, FIGC
11/10/2025, FIORENTE 1946 COLOGNOLA, CAVERNAGO, PRIMI CALCI 7-8anni, D, 10:00, BERGAMO Q.RE COLOGNOLA VIA S.SISTO 9,2, andata, FIGC
11/10/2025, POL. COM. GHISALBA CASQ.B, AZZANO CALCIO ASD, PRIMI CALCI 7-8anni, D, 14:00, GHISALBA VIA ALDO MORO,2, andata, FIGC
11/10/2025, U.S.O. ZANICA ASD, CALCIO PEDRENGO C.S.D.ASD, PRIMI CALCI 7-8anni, D, 14:00, ZANICA VIA ROMA 38,2, andata, FIGC
18/10/2025, AZZANO CALCIO ASD, CAVERNAGO, PRIMI CALCI 7-8anni, D, 15:00, AZZANO SAN PAOLO VIA STEZZANO 33,3, andata, FIGC
18/10/2025, CALCIO PEDRENGO C.S.D.ASD, CALCIO GORLE A.S.D. SQ.B, PRIMI CALCI 7-8anni, D, 14:30, PEDRENGO VIA GIARDINI 12A,3, andata, FIGC
18/10/2025, FIORENTE 1946 COLOGNOLA, AURORA SERIATE 1967 SQ.B, PRIMI CALCI 7-8anni, D, 10:00, BERGAMO Q.RE COLOGNOLA VIA S.SISTO 9,3, andata, FIGC
18/10/2025, LALLIO CALCIO sq.C, U.S.O. ZANICA ASD, PRIMI CALCI 7-8anni, D, 14:30, LALLIO VIA EVARISTO BASCHENIS,3, andata, FIGC
18/10/2025, REAL BOLGARE SQ.B, POL. COM. GHISALBA CASQ.B, PRIMI CALCI 7-8anni, D, 14:30, BOLGARE VIA ORIANA FALLACI,3, andata, FIGC
25/10/2025, AZZANO CALCIO ASD, FIORENTE 1946 COLOGNOLA, PRIMI CALCI 7-8anni, D, 15:00, AZZANO SAN PAOLO VIA STEZZANO 33,4, andata, FIGC
25/10/2025, CALCIO GORLE A.S.D. SQ.B, LALLIO CALCIO sq.C, PRIMI CALCI 7-8anni, D, 10:00, GORLE VIA ROMA 2A,4, andata, FIGC
25/10/2025, CAVERNAGO, REAL BOLGARE SQ.B, PRIMI CALCI 7-8anni, D, 14:15, CAVERNAGO VIA UNGARETTI 66,4, andata, FIGC
