Data,Squadra Casa,Squadra Ospite,Categoria,Girone,Ora,Indirizzo Campo,Giornata,A/R,Federazione
11/10/2025,Calcio Avbrembana,Sportimagna,Pulcini a 7,A,14:30,Comunale Via Briolo Entro 24015 S.Giovanni Bianco,1,A,CSI
11/10/2025,Lemine Almenno Bi,San Pellegrino,Pulcini a 7,A,14:30,Comunale Sint Via F.Lli Roncelli 2 24030 Almenno S.Bartolomeo,1,A,CSI
11/10/2025,Olmo 1999,Gso Botta,Pulcini a 7,A,15:00,Comunale Sintetico Via S.Antonio Abate 24010 Olmo al Brembo,1,A,CSI
11/10/2025,Acc.Villa D'Alme,Brembillese,Pulcini a 7,A,14:30,Comunale a 7 Sint Via Ronco Basso 15 24018 Villa D'Almè,1,A,CSI
18/10/2025,Gso Botta,Lemine Almenno Bi,Pulcini a 7,A,14:30,Oratorio Sintetico Via Palazzo 2 24010 Sedrina/Botta,2,A,CSI
18/10/2025,Sportimagna,Valserina,Pulcini a 7,A,14:30,Comunale Sintetico a 7 Via Elia Frosio 6 24038 S.Omobono Terme,2,A,CSI
18/10/2025,Brembillese,Olmo 1999,Pulcini a 7,A,10:00,L.Secomandi Località Piana 24012 Brembilla,2,A,CSI
18/10/2025,San Pellegrino,Acc.Villa D'Alme,Pulcini a 7,A,14:30,Stadio Quarenghi Sint Via B.Belotti 24016 S.Pellegrino Terme,2,A,CSI
25/10/2025,Lemine Almenno Bi,Brembillese,Pulcini a 7,A,14:30,Comunale Sint Via F.Lli Roncelli 2 24030 Almenno S.Bartolomeo,3,A,CSI
25/10/2025,Acc.Villa D'Alme,Sportimagna,Pulcini a 7,A,14:30,Comunale a 7 Sint Via Ronco Basso 15 24018 Villa D'Almè,3,A,CSI
25/10/2025,Valserina,Olmo 1999,Pulcini a 7,A,15:00,Comunale Via Valle 24017 Serina,3,A,CSI
25/10/2025,Gso Botta,San Pellegrino,Pulcini a 7,A,14:30,Oratorio Sintetico Via Palazzo 2 24010 Sedrina/Botta,3,A,CSI
