Data,Squadra Casa,Squadra Ospite,Categoria,Girone,Ora,Indirizzo Campo,Giornata,A/R,Federazione
11/10/2025,Lemine Almenno Gi,Pol.Sorisolese,Pulcini a 7,B,16:30,Comunale Sint Via F.Lli Roncelli 2 24030 Almenno S.Bartolomeo,1,A,CSI
11/10/2025,Lemine Almenno Ve,V.Or.Petosino Blu,Pulcini a 7,B,15:30,Comunale Sint Via F.Lli Roncelli 2 24030 Almenno S.Bartolomeo,1,A,CSI
11/10/2025,Real Borgogna 17,Presezzo Calcio,Pulcini a 7,B,15:00,Sintetico Via Papa Giovanni XXIII 24030 Barzana,1,A,CSI
11/10/2025,Pontisola Calcio,V.Or.Petosino Red,Pulcini a 7,B,14:30,Com.A.Villa Sint Via XXIV Maggio 24036 Ponte S.Pietro,1,A,CSI
18/10/2025,Dinamo Gialli,Pontisola Calcio,Pulcini a 7,B,15:00,Oratorio Sintetico Via Terzi S.Agata 8 24035 Curno,2,A,CSI
18/10/2025,V.Or.Petosino Blu,Real Borgogna 17,Pulcini a 7,B,14:30,Oratorio Via Martiri Della Libertà 95 24010 Sorisole Petosino,2,A,CSI
18/10/2025,Pol.Sorisolese,Lemine Almenno Ve,Pulcini a 7,B,14:30,Oratorio Via San Carlo 36 24010 Sorisole,2,A,CSI
18/10/2025,V.Or.Petosino Red,Lemine Almenno Gi,Pulcini a 7,B,15:30,Oratorio Via Martiri Della Libertà 95 24010 Sorisole Petosino,2,A,CSI
25/10/2025,Lemine Almenno Ve,Lemine Almenno Gi,Pulcini a 7,B,15:30,Comunale Sint Via F.Lli Roncelli 2 24030 Almenno S.Bartolomeo,3,A,CSI
25/10/2025,Real Borgogna 17,Pol.Sorisolese,Pulcini a 7,B,15:00,Sintetico Via Papa Giovanni XXIII 24030 Barzana,3,A,CSI
25/10/2025,Pontisola Calcio,Presezzo Calcio,Pulcini a 7,B,14:30,Com.A.Villa Sint Via XXIV Maggio 24036 Ponte S.Pietro,3,A,CSI
25/10/2025,Dinamo Gialli,V.Or.Petosino Red,Pulcini a 7,B,15:00,Oratorio Sintetico Via Terzi S.Agata 8 24035 Curno,3,A,CSI
01/11/2025,Presezzo Calcio,Dinamo Gialli,Pulcini a 7,B,14:30,Comunale A7 Sintetico Via Olimpia 3 24030 Presezzo,4,A,CSI
01/11/2025,V.Or.Petosino Blu,Pontisola Calcio,Pulcini a 7,B,14:30,Oratorio Via Martiri Della Libertà 95 24010 Sorisole Petosino,4,A,CSI
01/11/2025,Lemine Almenno Gi,Real Borgogna 17,Pulcini a 7,B,16:30,Comunale Sint Via F.Lli Roncelli 2 24030 Almenno S.Bartolomeo,4,A,CSI
01/11/2025,V.Or.Petosino Red,Lemine Almenno Ve,Pulcini a 7,B,15:30,Oratorio Via Martiri Della Libertà 95 24010 Sorisole Petosino,4,A,CSI
08/11/2025,Real Borgogna 17,Lemine Almenno Ve,Pulcini a 7,B,15:00,Sintetico Via Papa Giovanni XXIII 24030 Barzana,5,A,CSI
08/11/2025,Pontisola Calcio,Pol.Sorisolese,Pulcini a 7,B,14:30,Com.A.Villa Sint Via XXIV Maggio 24036 Ponte S.Pietro,5,A,CSI
08/11/2025,Dinamo Gialli,V.Or.Petosino Blu,Pulcini a 7,B,15:00,Oratorio Sintetico Via Terzi S.Agata 8 24035 Curno,5,A,CSI
08/11/2025,Presezzo Calcio,V.Or.Petosino Red,Pulcini a 7,B,14:30,Comunale A7 Sintetico Via Olimpia 3 24030 Presezzo,5,A,CSI
15/11/2025,V.Or.Petosino Blu,Presezzo Calcio,Pulcini a 7,B,14:30,Oratorio Via Martiri Della Libertà 95 24010 Sorisole Petosino,6,A,CSI
15/11/2025,Pol.Sorisolese,Dinamo Gialli,Pulcini a 7,B,14:30,Oratorio Via San Carlo 36 24010 Sorisole,6,A,CSI
15/11/2025,Lemine Almenno Gi,Pontisola Calcio,Pulcini a 7,B,16:30,Comunale Sint Via F.Lli Roncelli 2 24030 Almenno S.Bartolomeo,6,A,CSI
15/11/2025,V.Or.Petosino Red,Real Borgogna 17,Pulcini a 7,B,15:30,Oratorio Via Martiri Della Libertà 95 24010 Sorisole Petosino,6,A,CSI
22/11/2025,Pontisola Calcio,Lemine Almenno Ve,Pulcini a 7,B,14:30,Com.A.Villa Sint Via XXIV Maggio 24036 Ponte S.Pietro,7,A,CSI
22/11/2025,Dinamo Gialli,Lemine Almenno Gi,Pulcini a 7,B,15:00,Oratorio Sintetico Via Terzi S.Agata 8 24035 Curno,7,A,CSI
22/11/2025,Presezzo Calcio,Pol.Sorisolese,Pulcini a 7,B,14:30,Comunale A7 Sintetico Via Olimpia 3 24030 Presezzo,7,A,CSI
22/11/2025,V.Or.Petosino Blu,V.Or.Petosino Red,Pulcini a 7,B,14:30,Oratorio Via Martiri Della Libertà 95 24010 Sorisole Petosino,7,A,CSI
29/11/2025,Pol.Sorisolese,V.Or.Petosino Blu,Pulcini a 7,B,14:30,Oratorio Via San Carlo 36 24010 Sorisole,8,A,CSI
29/11/2025,Lemine Almenno Gi,Presezzo Calcio,Pulcini a 7,B,16:30,Comunale Sint Via F.Lli Roncelli 2 24030 Almenno S.Bartolomeo,8,A,CSI
29/11/2025,Lemine Almenno Ve,Dinamo Gialli,Pulcini a 7,B,15:30,Comunale Sint Via F.Lli Roncelli 2 24030 Almenno S.Bartolomeo,8,A,CSI
29/11/2025,Real Borgogna 17,Pontisola Calcio,Pulcini a 7,B,15:00,Sintetico Via Papa Giovanni XXIII 24030 Barzana,8,A,CSI
06/12/2025,Dinamo Gialli,Real Borgogna 17,Pulcini a 7,B,15:00,Oratorio Sintetico Via Terzi S.Agata 8 24035 Curno,9,A,CSI
06/12/2025,Presezzo Calcio,Lemine Almenno Ve,Pulcini a 7,B,14:30,Comunale A7 Sintetico Via Olimpia 3 24030 Presezzo,9,A,CSI
06/12/2025,V.Or.Petosino Blu,Lemine Almenno Gi,Pulcini a 7,B,14:30,Oratorio Via Martiri Della Libertà 95 24010 Sorisole Petosino,9,A,CSI
06/12/2025,V.Or.Petosino Red,Pol.Sorisolese,Pulcini a 7,B,15:30,Oratorio Via Martiri Della Libertà 95 24010 Sorisole Petosino,9,A,CSI
