Data,Squadra Casa,Squadra Ospite,Categoria,Girone,Ora,Indirizzo,Giornata,A/R,Federazione
13/10/2025,Osio Sopra Rossi,Or.Osio Sotto 16,Pulcini a 7,O,18:30,Comunale Via Leonardo Da Vinci 35 24040 Osio Sopra,1,Andata,CSI
11/10/2025,Atletico Grignano,Osgdalmine Blu,Pulcini a 7,O,15:00,Comunale (Sint) Via Resistenza 24041 Brembate/Grignano,1,Andata,CSI
11/10/2025,Mariano Calcio,Oriens Brembate,Pulcini a 7,O,14:30,Velodromo Via Tofane 1 24044 Dalmine,1,Andata,CSI
13/10/2025,Uso Sforzatica,Osio Sopra Bianch,Pulcini a 7,O,18:30,Or.S.Andrea (Sint) Via Colombo 7/A 24044 Dalmine/Sforzatica,1,Andata,CSI
18/10/2025,Osio Sopra Bianch,Or.Osio Sotto 17,Pulcini a 7,O,14:30,Comunale Via Leonardo Da Vinci 35 24040 Osio Sopra,2,Andata,CSI
18/10/2025,Oriens Brembate,Uso Sforzatica,Pulcini a 7,O,14:30,Parrocchiale (Sintetico) Via Marconi 24041 Brembate,2,Andata,CSI
18/10/2025,Osgdalmine Blu,Mariano Calcio,Pulcini a 7,O,15:30,Oratorio (Sintetico) Viale Betelli 1 24044 Dalmine,2,Andata,CSI
18/10/2025,Or.Osio Sotto 16,Atletico Grignano,Pulcini a 7,O,14:30,Parrocchiale (Sintetico) Via S Alessandro 3 24046 Osio Sotto,2,Andata,CSI
25/10/2025,Atletico Grignano,Osio Sopra Rossi,Pulcini a 7,O,15:00,Comunale (Sint) Via Resistenza 24041 Brembate/Grignano,3,Andata,CSI
25/10/2025,Mariano Calcio,Or.Osio Sotto 16,Pulcini a 7,O,14:30,Velodromo Via Tofane 1 24044 Dalmine,3,Andata,CSI
25/10/2025,Uso Sforzatica,Osgdalmine Blu,Pulcini a 7,O,14:30,Or.S.Andrea (Sint) Via Colombo 7/A 24044 Dalmine/Sforzatica,3,Andata,CSI
25/10/2025,Or.Osio Sotto 17,Oriens Brembate,Pulcini a 7,O,14:30,Parrocchiale (Sintetico) Via S Alessandro 3 24046 Osio Sotto,3,Andata,CSI
01/11/2025,Oriens Brembate,Osio Sopra Bianch,Pulcini a 7,O,14:30,Parrocchiale (Sintetico) Via Marconi 24041 Brembate,4,Andata,CSI
01/11/2025,Osgdalmine Blu,Or.Osio Sotto 17,Pulcini a 7,O,15:30,Oratorio (Sintetico) Viale Betelli 1 24044 Dalmine,4,Andata,CSI
01/11/2025,Or.Osio Sotto 16,Uso Sforzatica,Pulcini a 7,O,14:30,Parrocchiale (Sintetico) Via S Alessandro 3 24046 Osio Sotto,4,Andata,CSI
