Data,Squadra casa,Squadra ospite,Categoria,Girone,Ora di gioco,Indirizzo campo di gioco,Giornata,A/R,Federazione
04/10/2025,CALCIO BRUSAPORTO,UESSE SARNICO 1908,PULCINI 7>7 10 anni,F,14:00,BRUSAPORTO VIA BELVEDERE 1,1,Andata,FIGC
04/10/2025,FIORENTE 1946 COLOGNOLA,CALCIO GORLE A.S.D.  SQ.B,PULCINI 7>7 10 anni,F,14:30,BERGAMO Q.RE COLOGNOLA VIA S.SISTO,1,Andata,FIGC
04/10/2025,MALPENSATA CAMPAGNOLA,AZZANO CALCIO ASD,PULCINI 7>7 10 anni,F,14:15,BERGAMO Q.RE CAMPAGNOLA VIA GASPARINI,1,Andata,FIGC
04/10/2025,REAL BOLGARE,VALCALEPIO JUNIOR SRL,PULCINI 7>7 10 anni,F,16:00,BOLGARE VIA ORIANA FALLACI,1,Andata,FIGC
11/10/2025,AZZANO CALCIO ASD,REAL CALEPINA F.C. SSDARL,PULCINI 7>7 10 anni,F,15:00,AZZANO SAN PAOLO VIA  STEZZANO,2,Andata,FIGC
11/10/2025,CALCIO GORLE A.S.D.  SQ.B,REAL BOLGARE,PULCINI 7>7 10 anni,F,14:15,GORLE VIA ROMA 2/A,2,Andata,FIGC
11/10/2025,UESSE SARNICO 1908,MALPENSATA CAMPAGNOLA,PULCINI 7>7 10 anni,F,14:30,SARNICO VIA DONATORI DEL SANGUE,2,Andata,FIGC
11/10/2025,VALCALEPIO JUNIOR SRL,CALCIO BRUSAPORTO,PULCINI 7>7 10 anni,F,14:30,CASTELLI CALEPIO/FRAZ.CIVIDINO VIA FERRUCCI,2,Andata,FIGC
18/10/2025,CALCIO BRUSAPORTO,CALCIO GORLE A.S.D.  SQ.B,PULCINI 7>7 10 anni,F,14:00,BRUSAPORTO VIA BELVEDERE 1,3,Andata,FIGC
18/10/2025,MALPENSATA CAMPAGNOLA,VALCALEPIO JUNIOR SRL,PULCINI 7>7 10 anni,F,14:15,BERGAMO Q.RE CAMPAGNOLA VIA GASPARINI,3,Andata,FIGC
18/10/2025,REAL BOLGARE,FIORENTE 1946 COLOGNOLA,PULCINI 7>7 10 anni,F,16:00,BOLGARE VIA ORIANA FALLACI,3,Andata,FIGC
18/10/2025,REAL CALEPINA F.C. SSDARL,UESSE SARNICO 1908,PULCINI 7>7 10 anni,F,15:30,GRUMELLO DEL MONTE VIA DON PIETRO BELOTTI,3,Andata,FIGC
25/10/2025,CALCIO GORLE A.S.D.  SQ.B,MALPENSATA CAMPAGNOLA,PULCINI 7>7 10 anni,F,14:15,GORLE VIA ROMA 2/A,4,Andata,FIGC
25/10/2025,FIORENTE 1946 COLOGNOLA,CALCIO BRUSAPORTO,PULCINI 7>7 10 anni,F,14:30,BERGAMO Q.RE COLOGNOLA VIA S.SISTO,4,Andata,FIGC
25/10/2025,UESSE SARNICO 1908,AZZANO CALCIO ASD,PULCINI 7>7 10 anni,F,14:30,SARNICO VIA DONATORI DEL SANGUE,4,Andata,FIGC
25/10/2025,VALCALEPIO JUNIOR SRL,REAL CALEPINA F.C. SSDARL,PULCINI 7>7 10 anni,F,14:30,CASTELLI CALEPIO/FRAZ.CIVIDINO VIA FERRUCCI,4,Andata,FIGC
01/11/2025,AZZANO CALCIO ASD,VALCALEPIO JUNIOR SRL,PULCINI 7>7 10 anni,F,15:00,AZZANO SAN PAOLO VIA  STEZZANO,5,Andata,FIGC
01/11/2025,CALCIO BRUSAPORTO,REAL BOLGARE,PULCINI 7>7 10 anni,F,14:00,BRUSAPORTO VIA BELVEDERE 1,5,Andata,FIGC
