Data,squadra casa,squadra ospite,categoria,girone,ora di gioco,indirizzo campo di gioco,giornata,A/R,federazione
04/10/2025,A.C. PONTE S.P. - MAPsq.D,TRITIUM CALCIO 1908 ASQ.B,PULCINI 2016,A,14:15,MAPELLO VIA DEL LAZZARINO 1,1,A,FIGC
04/10/2025,A.C. PONTE S.P. - MAPSQ.B,VILLA VALLE SSD ARL  SQ.B,PULCINI 2016,A,16:00,PONTE SAN PIETRO ZONA CLINICA VIA XXIV MAGGIO,1,A,FIGC
04/10/2025,ACCADEMIA CALCIO A.S.D.,U.S.CALCIO SAN PELLEGRINO,PULCINI 2016,A,14:30,PALADINA VIA DEGLI ALPINI 1,1,A,FIGC
04/10/2025,ALME,ACCADEMIA ISOLABERGAMASCA,PULCINI 2016,A,15:00,ALME VIA OLIMPIA 8,1,A,FIGC
11/10/2025,ACCADEMIA ISOLABERGAMASCA,A.C. PONTE S.P. - MAPSQ.B,PULCINI 2016,A,14:30,BONATE SOTTO VIA GIUSEPPE GARIBALDI 15,2,A,FIGC
11/10/2025,TRITIUM CALCIO 1908 ASQ.B,ALME,PULCINI 2016,A,14:30,TREZZO SULLADDA VIA ROCCA 19,2,A,FIGC
11/10/2025,U.S.CALCIO SAN PELLEGRINO,ZOGNESE,PULCINI 2016,A,14:30,SAN PELLEGRINO TERME VIA B BELOTTI 2,2,A,FIGC
11/10/2025,VILLA VALLE SSD ARL  SQ.B,ACCADEMIA CALCIO A.S.D.,PULCINI 2016,A,15:30,VILLA DALME VIA RONCO BASSO 5,2,A,FIGC
18/10/2025,A.C. PONTE S.P. - MAPsq.D,U.S.CALCIO SAN PELLEGRINO,PULCINI 2016,A,14:15,MAPELLO VIA DEL LAZZARINO 1,3,A,FIGC
18/10/2025,ACCADEMIA CALCIO A.S.D.,A.C. PONTE S.P. - MAPSQ.B,PULCINI 2016,A,14:30,PALADINA VIA DEGLI ALPINI 1,3,A,FIGC
18/10/2025,ACCADEMIA ISOLABERGAMASCA,TRITIUM CALCIO 1908 ASQ.B,PULCINI 2016,A,14:30,BONATE SOTTO VIA GIUSEPPE GARIBALDI 15,3,A,FIGC
18/10/2025,ZOGNESE,VILLA VALLE SSD ARL  SQ.B,PULCINI 2016,A,14:30,ZOGNO VIA CAMANCHE SNC,3,A,FIGC
25/10/2025,A.C. PONTE S.P. - MAPSQ.B,ZOGNESE,PULCINI 2016,A,16:00,PONTE SAN PIETRO ZONA CLINICA VIA XXIV MAGGIO,4,A,FIGC
25/10/2025,ACCADEMIA CALCIO A.S.D.,ACCADEMIA ISOLABERGAMASCA,PULCINI 2016,A,14:30,PALADINA VIA DEGLI ALPINI 1,4,A,FIGC
25/10/2025,U.S.CALCIO SAN PELLEGRINO,ALME,PULCINI 2016,A,14:30,SAN PELLEGRINO TERME VIA B BELOTTI 2,4,A,FIGC
25/10/2025,VILLA VALLE SSD ARL  SQ.B,A.C. PONTE S.P. - MAPsq.D,PULCINI 2016,A,15:30,VILLA DALME VIA RONCO BASSO 5,4,A,FIGC
01/11/2025,A.C. PONTE S.P. - MAPsq.D,A.C. PONTE S.P. - MAPSQ.B,PULCINI 2016,A,14:15,MAPELLO VIA DEL LAZZARINO 1,5,A,FIGC
01/11/2025,ALME,VILLA VALLE SSD ARL  SQ.B,PULCINI 2016,A,15:00,ALME VIA OLIMPIA 8,5,A,FIGC
01/11/2025,TRITIUM CALCIO 1908 ASQ.B,U.S.CALCIO SAN PELLEGRINO,PULCINI 2016,A,14:30,TREZZO SULLADDA VIA ROCCA 19,5,A,FIGC
01/11/2025,ZOGNESE,ACCADEMIA CALCIO A.S.D.,PULCINI 2016,A,14:30,ZOGNO VIA CAMANCHE SNC,5,A,FIGC
08/11/2025,ALME,A.C. PONTE S.P. - MAPSQ.B,PULCINI 2016,A,15:00,ALME VIA OLIMPIA 8,6,R,FIGC
08/11/2025,A.C. PONTE S.P. - MAPsq.D,ACCADEMIA CALCIO A.S.D.,PULCINI 2016,A,14:15,MAPELLO VIA DEL LAZZARINO 1,6,R,FIGC
08/11/2025,TRITIUM CALCIO 1908 ASQ.B,VILLA VALLE SSD ARL  SQ.B,PULCINI 2016,A,14:30,TREZZO SULLADDA VIA ROCCA 19,6,R,FIGC
08/11/2025,ACCADEMIA ISOLABERGAMASCA,ZOGNESE,PULCINI 2016,A,14:30,BONATE SOTTO VIA GIUSEPPE GARIBALDI 15,6,R,FIGC
15/11/2025,A.C. PONTE S.P. - MAPsq.D,ZOGNESE,PULCINI 2016,A,14:15,MAPELLO VIA DEL LAZZARINO 1,7,R,FIGC
15/11/2025,ACCADEMIA ISOLABERGAMASCA,U.S.CALCIO SAN PELLEGRINO,PULCINI 2016,A,14:30,BONATE SOTTO VIA GIUSEPPE GARIBALDI 15,7,R,FIGC
15/11/2025,ALME,ACCADEMIA CALCIO A.S.D.,PULCINI 2016,A,15:00,ALME VIA OLIMPIA 8,7,R,FIGC
