04/10/2025, Aurora Seriate 1967, Nova Montello, Pulcini 7x7 9 anni, C, 14:00, Seriate VIA DECO E CANETTA 66,1, andata, FIGC
04/10/2025, Azzano Calcio ASD, Juvenes Gianni Radici, Pulcini 7x7 9 anni, C, 15:00, Azzano San Paolo VIA STEZZANO 33,1, andata, FIGC
04/10/2025, Fiorente 1946 Colognola, Juvenes Gianni Radici SQ.B, Pulcini 7x7 9 anni, C, 14:30, Bergamo Q.RE Colognola VIA S.SISTO 9,1, andata, FIGC
04/10/2025, La Torre Calcio A.S.D., Ponteranica, Pulcini 7x7 9 anni, C, 16:30, Torre Boldone VIALE LOMBARDIA 44,1, andata, FIGC
04/10/2025, Scanzorosciate Calcio ASD, Albinoleffe S.R.L., Pulcini 7x7 9 anni, C, 14:30, Scanzorosciate VIA POLCAREZZO 2,1, andata, FIGC
11/10/2025, Albinoleffe S.R.L., La Torre Calcio A.S.D., Pulcini 7x7 9 anni, C, 14:00, Zanica VIA COMUN NUOVO 26-28,2, andata, FIGC
11/10/2025, Juvenes Gianni Radici, Aurora Seriate 1967, Pulcini 7x7 9 anni, C, 15:30, Casnigo VIA EUROPA,2, andata, FIGC
11/10/2025, Juvenes Gianni Radici SQ.B, Azzano Calcio ASD, Pulcini 7x7 9 anni, C, 14:30, Casnigo VIA EUROPA,2, andata, FIGC
11/10/2025, Nova Montello, Scanzorosciate Calcio ASD, Pulcini 7x7 9 anni, C, 15:00, Montello VIA L.ARIOSTO,2, andata, FIGC
11/10/2025, Ponteranica, Fiorente 1946 Colognola, Pulcini 7x7 9 anni, C, 15:00, Ponteranica VIA VIII MARZO,2, andata, FIGC
18/10/2025, Aurora Seriate 1967, Juvenes Gianni Radici SQ.B, Pulcini 7x7 9 anni, C, 14:00, Seriate VIA DECO E CANETTA 66,3, andata, FIGC
18/10/2025, Azzano Calcio ASD, Fiorente 1946 Colognola, Pulcini 7x7 9 anni, C, 15:00, Azzano San Paolo VIA STEZZANO 33,3, andata, FIGC
18/10/2025, La Torre Calcio A.S.D., Nova Montello, Pulcini 7x7 9 anni, C, 16:30, Torre Boldone VIALE LOMBARDIA 44,3, andata, FIGC
18/10/2025, Ponteranica, Albinoleffe S.R.L., Pulcini 7x7 9 anni, C, 15:00, Ponteranica VIA VIII MARZO,3, andata, FIGC
